pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
markowska2014.pdf,3142,Ag,NOT_DETECTED,NOT_DETECTED,FIC,,,,1,3,p3_t1,1,markowska2014:rule-1,Agent MIC(mgml”1) Agentcombination(mgml”1) FICI Interaction,synergy.table_rules,0.72
markowska2014.pdf,3143,Ag,NOT_DETECTED,NOT_DETECTED,FIC,,,,256,3,p3_t1,2,markowska2014:rule-2,AMP 256 AMP(16)+AgNPs(0.25) 0.3125 Synergistic OXA 768 OXA(96)+AgNPs(0.5) 0.625 Nointeraction STR 24 STR(6)+AgNPs(0.25) 0.5 Synergistic RIF 16 RIF(4)+AgNPs(0.125) 0.375 Synergistic CIP 0.25 CIP(0.01563)+AgNPs(0.5) 0.5625 Nointeraction TET 10 TET(2.5)+AgNPs(0.25) 0.5 Synergistic MEM 0.5 MEM(0.25)+AgNPs(0.25) 0.75 Nointeraction CAZ 2 CAZ(1)+AgNPs(0.25) 0.75 Nointeraction AgNPs 1,synergy.table_rules,0.72
markowska2014.pdf,3144,Ag,Pseudomonas aeruginosa,Ampicillin,FIC,,,,5,2,,text-1,markowska2014:rule-3,"K.Markowskaandothers METHODS ofAgNPsandSTR,AMP,RIForTETaddedaloneorincombination, andthenincubatedat37uC.Aliquotsof0.1mlweretakenatthestartof Bacterial strain, culture media, chemicals and antibodies.",synergy.text_rules,0.58
markowska2014.pdf,3145,Ag,Pseudomonas aeruginosa,Ciprofloxacin,FIC,,,,5,2,,text-1,markowska2014:rule-4,"K.Markowskaandothers METHODS ofAgNPsandSTR,AMP,RIForTETaddedaloneorincombination, andthenincubatedat37uC.Aliquotsof0.1mlweretakenatthestartof Bacterial strain, culture media, chemicals and antibodies.",synergy.text_rules,0.58
markowska2014.pdf,3146,Ag,Pseudomonas aeruginosa,Meropenem,FIC,,,,5,2,,text-1,markowska2014:rule-5,"K.Markowskaandothers METHODS ofAgNPsandSTR,AMP,RIForTETaddedaloneorincombination, andthenincubatedat37uC.Aliquotsof0.1mlweretakenatthestartof Bacterial strain, culture media, chemicals and antibodies.",synergy.text_rules,0.58
markowska2014.pdf,3147,Ag,Pseudomonas aeruginosa,Rifampicin,FIC,,,,5,2,,text-1,markowska2014:rule-6,"K.Markowskaandothers METHODS ofAgNPsandSTR,AMP,RIForTETaddedaloneorincombination, andthenincubatedat37uC.Aliquotsof0.1mlweretakenatthestartof Bacterial strain, culture media, chemicals and antibodies.",synergy.text_rules,0.58
markowska2014.pdf,3148,Ag,Pseudomonas aeruginosa,Ampicillin,FIC,,,,5,2,,text-2,markowska2014:rule-7,"K.Markowskaandothers METHODS ofAgNPsandSTR,AMP,RIForTETaddedaloneorincombination, andthenincubatedat37uC.Aliquotsof0.1mlweretakenatthestartof Bacterial strain, culture media, chemicals and antibodies. P.",synergy.text_rules,0.58
markowska2014.pdf,3149,Ag,Pseudomonas aeruginosa,Ciprofloxacin,FIC,,,,5,2,,text-2,markowska2014:rule-8,"K.Markowskaandothers METHODS ofAgNPsandSTR,AMP,RIForTETaddedaloneorincombination, andthenincubatedat37uC.Aliquotsof0.1mlweretakenatthestartof Bacterial strain, culture media, chemicals and antibodies. P.",synergy.text_rules,0.58
markowska2014.pdf,3150,Ag,Pseudomonas aeruginosa,Meropenem,FIC,,,,5,2,,text-2,markowska2014:rule-9,"K.Markowskaandothers METHODS ofAgNPsandSTR,AMP,RIForTETaddedaloneorincombination, andthenincubatedat37uC.Aliquotsof0.1mlweretakenatthestartof Bacterial strain, culture media, chemicals and antibodies. P.",synergy.text_rules,0.58
markowska2014.pdf,3151,Ag,Pseudomonas aeruginosa,Rifampicin,FIC,,,,5,2,,text-2,markowska2014:rule-10,"K.Markowskaandothers METHODS ofAgNPsandSTR,AMP,RIForTETaddedaloneorincombination, andthenincubatedat37uC.Aliquotsof0.1mlweretakenatthestartof Bacterial strain, culture media, chemicals and antibodies. P.",synergy.text_rules,0.58
markowska2014.pdf,3152,Ag,Pseudomonas aeruginosa,Rifampicin,FIC,,,,5,2,,text-3,markowska2014:rule-11,"P. incubationandagainafter1,2,3,4,8and24h.Seriallydilutedsamples aeruginosa ATCC 10145 was obtained from the Polish Collection of (0.1ml)werespreadontoMHagarplatesandcolonynumberscounted Microorganisms.P.aeruginosaSTRRandRIFRspontaneousmutants after24hincubationat37uC.Areductionintheviablecellcountinthe wereobtainedbythestandardmethodexploitingselectiononplates presence of both substances, in comparison with that obtained in the supplemented with 512mg streptomycin (STR) ml21 and 256mg presence of the most active compound alone, of ¢2 log units was rifampicin (RIF) ml21.",synergy.text_rules,0.58
markowska2014.pdf,3153,Ag,Pseudomonas aeruginosa,Streptomycin,FIC,,,,5,2,,text-3,markowska2014:rule-12,"P. incubationandagainafter1,2,3,4,8and24h.Seriallydilutedsamples aeruginosa ATCC 10145 was obtained from the Polish Collection of (0.1ml)werespreadontoMHagarplatesandcolonynumberscounted Microorganisms.P.aeruginosaSTRRandRIFRspontaneousmutants after24hincubationat37uC.Areductionintheviablecellcountinthe wereobtainedbythestandardmethodexploitingselectiononplates presence of both substances, in comparison with that obtained in the supplemented with 512mg streptomycin (STR) ml21 and 256mg presence of the most active compound alone, of ¢2 log units was rifampicin (RIF) ml21.",synergy.text_rules,0.58
markowska2014.pdf,3154,Ag,Pseudomonas aeruginosa,Rifampicin,FIC,,,,5,2,,text-4,markowska2014:rule-13,"ontaneousmutants after24hincubationat37uC.Areductionintheviablecellcountinthe wereobtainedbythestandardmethodexploitingselectiononplates presence of both substances, in comparison with that obtained in the supplemented with 512mg streptomycin (STR) ml21 and 256mg presence of the most active compound alone, of ¢2 log units was rifampicin (RIF) ml21. Cultures were grown in Mueller–Hinton interpretedassynergy(Matsumuraetal.,1999).Killcurves 1 w 0 eredrawn broth (MH;",synergy.text_rules,0.58
markowska2014.pdf,3155,Ag,Pseudomonas aeruginosa,Streptomycin,FIC,,,,5,2,,text-4,markowska2014:rule-14,"ontaneousmutants after24hincubationat37uC.Areductionintheviablecellcountinthe wereobtainedbythestandardmethodexploitingselectiononplates presence of both substances, in comparison with that obtained in the supplemented with 512mg streptomycin (STR) ml21 and 256mg presence of the most active compound alone, of ¢2 log units was rifampicin (RIF) ml21. Cultures were grown in Mueller–Hinton interpretedassynergy(Matsumuraetal.,1999).Killcurves 1 w 0 eredrawn broth (MH;",synergy.text_rules,0.58
markowska2014.pdf,3156,Ag,Pseudomonas aeruginosa,Ampicillin,FIC,,,,5,2,,text-5,markowska2014:rule-15,"Cultures were grown in Mueller–Hinton interpretedassynergy(Matsumuraetal.,1999).Killcurves 1 w 0 eredrawn broth (MH; Biocorp Poland).",synergy.text_rules,0.58
markowska2014.pdf,3157,Ag,Pseudomonas aeruginosa,Ciprofloxacin,FIC,,,,5,2,,text-5,markowska2014:rule-16,"Cultures were grown in Mueller–Hinton interpretedassynergy(Matsumuraetal.,1999).Killcurves 1 w 0 eredrawn broth (MH; Biocorp Poland).",synergy.text_rules,0.58
markowska2014.pdf,3158,Ag,Pseudomonas aeruginosa,Meropenem,FIC,,,,5,2,,text-5,markowska2014:rule-17,"Cultures were grown in Mueller–Hinton interpretedassynergy(Matsumuraetal.,1999).Killcurves 1 w 0 eredrawn broth (MH; Biocorp Poland).",synergy.text_rules,0.58
markowska2014.pdf,3159,Ag,Pseudomonas aeruginosa,Rifampicin,FIC,,,,5,2,,text-5,markowska2014:rule-18,"Cultures were grown in Mueller–Hinton interpretedassynergy(Matsumuraetal.,1999).Killcurves 1 w 0 eredrawn broth (MH; Biocorp Poland).",synergy.text_rules,0.58
