pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
padalia2017.pdf,3422,ZnO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-1,padalia2017:rule-1,"BioNanoSci. CassiaauriculataL.commonlyknownasawalisashrub zeta potential, thermal gravimetric analysis (TGA), fourier belongingtoFabaceaefamily.Itiswidelyusedintraditional transform infrared (FTIR) spectroscopy, X-ray diffraction medicineforrheumatism,conjunctivitis,anddiabetes.Leaves analysis (XRD), and scanning electron microscopy (SEM) and fruits as an anthelmintic root used for skin diseases and analysisasdescribedbyPadaliaetal.[14].",synergy.text_rules,0.58
padalia2017.pdf,3423,ZnO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-2,padalia2017:rule-2,"ic analysis (TGA), fourier belongingtoFabaceaefamily.Itiswidelyusedintraditional transform infrared (FTIR) spectroscopy, X-ray diffraction medicineforrheumatism,conjunctivitis,anddiabetes.Leaves analysis (XRD), and scanning electron microscopy (SEM) and fruits as an anthelmintic root used for skin diseases and analysisasdescribedbyPadaliaetal.[14]. seedswereusedfortreatmentofeyeinfection[10].Theanti- microbialandantioxidantpropertyofC.auriculataleavesand 2.5AntimicrobialActivity stem extracts is reported by Chanda et al.",synergy.text_rules,0.58
padalia2017.pdf,3424,ZnO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-3,padalia2017:rule-3,seedswereusedfortreatmentofeyeinfection[10].Theanti- microbialandantioxidantpropertyofC.auriculataleavesand 2.5AntimicrobialActivity stem extracts is reported by Chanda et al. [11].,synergy.text_rules,0.58
padalia2017.pdf,3425,ZnO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-4,padalia2017:rule-4,"[11]. Silver nano- particlessynthesizedusingtheC.auriculataflowerisshowed The antimicrobial potential of ZnO NPs was evaluated significant catalytic activity is reported by Muthu and Priya against four Gram-positive bacteria (Bacillus cereus (BC) [12].TheaimofthepresentstudywastosynthesizeZnONPs ATCC11778, Bacillus subtilis (BS) ATCC6633, usingCassiaauriculataleafaqueousextractandevaluatethe Staphylococcus aureus (SA) ATCC29737, Corynebacterium synergisticantimicrobialandcytotoxicactivityofZnONPs.",synergy.text_rules,0.58
padalia2017.pdf,3426,ZnO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-5,padalia2017:rule-5,"ivity is reported by Muthu and Priya against four Gram-positive bacteria (Bacillus cereus (BC) [12].TheaimofthepresentstudywastosynthesizeZnONPs ATCC11778, Bacillus subtilis (BS) ATCC6633, usingCassiaauriculataleafaqueousextractandevaluatethe Staphylococcus aureus (SA) ATCC29737, Corynebacterium synergisticantimicrobialandcytotoxicactivityofZnONPs. rubrum (CR) ATCC14898), four Gram-negative bacteria (Escherichiacoli(EC)NCIM2931,Pseudomonasaeruginosa (PA) ATCC9027, Klebsiella pneumoniae (KP) NCIM2719, 2MaterialsandMethods and Salmonella typhimurium (ST) ATCC23564), and three fungi (Cryptococcus neoformans (CN) ATCC34664, 2.1PlantMaterialsandChemicals Candida albicans (CA) ATCC2091, and Candida glabrata (CG) NCIM3438).",synergy.text_rules,0.58
padalia2017.pdf,3427,ZnO,Klebsiella pneumoniae,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-6,padalia2017:rule-6,"our Gram-negative bacteria (Escherichiacoli(EC)NCIM2931,Pseudomonasaeruginosa (PA) ATCC9027, Klebsiella pneumoniae (KP) NCIM2719, 2MaterialsandMethods and Salmonella typhimurium (ST) ATCC23564), and three fungi (Cryptococcus neoformans (CN) ATCC34664, 2.1PlantMaterialsandChemicals Candida albicans (CA) ATCC2091, and Candida glabrata (CG) NCIM3438). The microorganisms were obtained from FreshleavesofCassiaauriculatawerecollectedfromRajkot, NationalChemicalLaboratory,Pune,India.Themicroorgan- Gujarat,India.AllthechemicalswereobtainedfromHiMedia ismsweremaintainedat4°C.",synergy.text_rules,0.58
padalia2017.pdf,3428,ZnO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-7,padalia2017:rule-7,"The microorganisms were obtained from FreshleavesofCassiaauriculatawerecollectedfromRajkot, NationalChemicalLaboratory,Pune,India.Themicroorgan- Gujarat,India.AllthechemicalswereobtainedfromHiMedia ismsweremaintainedat4°C. Laboratories Pvt.",synergy.text_rules,0.58
padalia2017.pdf,3429,ZnO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-8,padalia2017:rule-8,Ultra-purified water wasusedforalltheexperiments. 2.5.1AgarWellDiffusionAssay 2.2PreparationofthePlantExtract InvitroantimicrobialactivityofZnONPswasdeterminedby agar well diffusion assay [15].,synergy.text_rules,0.58
padalia2017.pdf,3430,ZnO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-9,padalia2017:rule-9,2.5.1AgarWellDiffusionAssay 2.2PreparationofthePlantExtract InvitroantimicrobialactivityofZnONPswasdeterminedby agar well diffusion assay [15]. Molten Mueller Hinton Fresh leaves of Cassia auriculata were thoroughly washed agar/Sabourauddextroseagar(40–42°C)wasseededwith withtapwaterfollowedbyultra-purifiedwateranddriedun- 200μlofinoculums(1×108cfu/ml)andpouredintopetri dershade.Thedriedplantswerehomogenizedtofinepowder dishes.,synergy.text_rules,0.58
padalia2017.pdf,3431,ZnO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,8.5,,2,,text-10,padalia2017:rule-10,"Molten Mueller Hinton Fresh leaves of Cassia auriculata were thoroughly washed agar/Sabourauddextroseagar(40–42°C)wasseededwith withtapwaterfollowedbyultra-purifiedwateranddriedun- 200μlofinoculums(1×108cfu/ml)andpouredintopetri dershade.Thedriedplantswerehomogenizedtofinepowder dishes. Themedia wasallowed to solidify,and wellswere andstoredinairtightbottles.Fivegramsofleafpowderwas preparedintheseededagarplateswiththehelpofacupborer taken in a 250-ml glass beaker along with 100 ml ultra- (8.5mm).Fivedifferentconcentrations(25,50,75,100,and purifiedwaterandplaceditonamagneticstirreratatemper- 150mg/ml)ofZnONPsweremadein100%DMSO;100μl atureof80°Cfor1 h.Theextractwascooledtoroomtem- ofdifferentconcentrationsofnanoparticleswasaddedintothe peratureandfilteredthroughWhatmanNo.1filterpaper.The well.",synergy.text_rules,0.58
