pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
pageni2018.pdf,3521,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,8,,,5,,text-1,pageni2018:rule-1,"Pageni et al. Page 5 the antimicrobial efficacy, four different samples were prepared for disk diffusion assays: homopolymer-penicillin conjugate (PCo-Pen), penicillin, FeNP-penicillin conjugate (FeNP- Pen) and FeNP without penicillin (FeNP-Cl).",synergy.text_rules,0.58
pageni2018.pdf,3522,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,8,,,5,,text-2,pageni2018:rule-2,"Page 5 the antimicrobial efficacy, four different samples were prepared for disk diffusion assays: homopolymer-penicillin conjugate (PCo-Pen), penicillin, FeNP-penicillin conjugate (FeNP- Pen) and FeNP without penicillin (FeNP-Cl). For S.",synergy.text_rules,0.58
pageni2018.pdf,3523,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,8,,,5,,text-3,pageni2018:rule-3,"For S. aureus, the diameter of the inhibition zone caused by penicillin alone was 8 mm while the homopolymer conjugate resulted in a larger diameter of 11 mm, as shown in Figure 2 and Figure S4.",synergy.text_rules,0.58
pageni2018.pdf,3524,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,8,,,5,,text-4,pageni2018:rule-4,"aureus, the diameter of the inhibition zone caused by penicillin alone was 8 mm while the homopolymer conjugate resulted in a larger diameter of 11 mm, as shown in Figure 2 and Figure S4. When the FeNP-penicillin conjugate was used, the inhibition zone was significantly enhanced and diameters increased to a mean of 18 mm.",synergy.text_rules,0.58
pageni2018.pdf,3525,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,18,,,5,,text-5,pageni2018:rule-5,"When the FeNP-penicillin conjugate was used, the inhibition zone was significantly enhanced and diameters increased to a mean of 18 mm. FeNP nanoparticles lacking penicillin had much smaller zones of inhibition owing to their much reduced antibacterial activity.",synergy.text_rules,0.58
pageni2018.pdf,3526,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,8,,,5,,text-6,pageni2018:rule-6,"FeNP nanoparticles lacking penicillin had much smaller zones of inhibition owing to their much reduced antibacterial activity. When the assay was extended to another Gram-positive bacterium, B.",synergy.text_rules,0.58
pageni2018.pdf,3527,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,8,,,5,,text-7,pageni2018:rule-7,"When the assay was extended to another Gram-positive bacterium, B. cereus, a similar trend was observed, however, higher antimicrobial activities for all samples were observed.",synergy.text_rules,0.58
pageni2018.pdf,3528,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,10,,,5,,text-8,pageni2018:rule-8,"cereus, a similar trend was observed, however, higher antimicrobial activities for all samples were observed. The zones of inhibition of penicillin and FeNP-penicillin conjugates increased to 10 mm and 20 mm, respectively, when compared to S.",synergy.text_rules,0.58
pageni2018.pdf,3529,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,10,,,5,,text-9,pageni2018:rule-9,"The zones of inhibition of penicillin and FeNP-penicillin conjugates increased to 10 mm and 20 mm, respectively, when compared to S. aureus.",synergy.text_rules,0.58
pageni2018.pdf,3530,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,8,,,5,,text-10,pageni2018:rule-10,"For further investigation, disk diffusion assays were carried out against several BSL2-level Gram-negative pathogen strains using the above-mentioned protocol: Escherichia coli, Proteus vulgaris and Klebsiella pneumonia. As shown in Figure 2, penicillin alone showed minimal antibacterial activity when compared to homopolymer- penicillin conjugates and FeNP-penicillin conjugates.",synergy.text_rules,0.58
