pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
patra2016.pdf,3613,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-1,patra2016:rule-1,"ARTIFICIALCELLS,NANOMEDICINE,ANDBIOTECHNOLOGY 351 The Chymotrypsin-like proteasomal activity of the Fe O nano- determined by the disc diffusion method (Murray et al.",synergy.text_rules,0.58
patra2016.pdf,3614,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-1,patra2016:rule-2,"ARTIFICIALCELLS,NANOMEDICINE,ANDBIOTECHNOLOGY 351 The Chymotrypsin-like proteasomal activity of the Fe O nano- determined by the disc diffusion method (Murray et al.",synergy.text_rules,0.58
patra2016.pdf,3615,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-2,patra2016:rule-3,"ARTIFICIALCELLS,NANOMEDICINE,ANDBIOTECHNOLOGY 351 The Chymotrypsin-like proteasomal activity of the Fe O nano- determined by the disc diffusion method (Murray et al. 1995).",synergy.text_rules,0.58
patra2016.pdf,3616,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-2,patra2016:rule-4,"ARTIFICIALCELLS,NANOMEDICINE,ANDBIOTECHNOLOGY 351 The Chymotrypsin-like proteasomal activity of the Fe O nano- determined by the disc diffusion method (Murray et al. 1995).",synergy.text_rules,0.58
patra2016.pdf,3617,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-3,patra2016:rule-5,"1995). 3 4 particles in a 96 well microplate were measured based on the Five different pathogenic Candida species were used in the fluorescence intensities at an excitation of 350nm and emis- study, C.",synergy.text_rules,0.58
patra2016.pdf,3618,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-3,patra2016:rule-6,"1995). 3 4 particles in a 96 well microplate were measured based on the Five different pathogenic Candida species were used in the fluorescence intensities at an excitation of 350nm and emis- study, C.",synergy.text_rules,0.58
patra2016.pdf,3619,nanoparticle,Candida albicans,Kanamycin,disc_diffusion,,,6,,4,,text-4,patra2016:rule-7,"3 4 particles in a 96 well microplate were measured based on the Five different pathogenic Candida species were used in the fluorescence intensities at an excitation of 350nm and emis- study, C. albicans KACC 30003 and KACC 30062, C.",synergy.text_rules,0.58
patra2016.pdf,3620,nanoparticle,Candida albicans,Rifampicin,disc_diffusion,,,6,,4,,text-4,patra2016:rule-8,"3 4 particles in a 96 well microplate were measured based on the Five different pathogenic Candida species were used in the fluorescence intensities at an excitation of 350nm and emis- study, C. albicans KACC 30003 and KACC 30062, C.",synergy.text_rules,0.58
patra2016.pdf,3621,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-5,patra2016:rule-9,"albicans KACC 30003 and KACC 30062, C. glabrata sion of 440nm at 30(cid:2)C reaction temperature using a micro- KBNO 6P00368, C.",synergy.text_rules,0.58
patra2016.pdf,3622,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-5,patra2016:rule-10,"albicans KACC 30003 and KACC 30062, C. glabrata sion of 440nm at 30(cid:2)C reaction temperature using a micro- KBNO 6P00368, C.",synergy.text_rules,0.58
patra2016.pdf,3623,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-6,patra2016:rule-11,"glabrata sion of 440nm at 30(cid:2)C reaction temperature using a micro- KBNO 6P00368, C. geochares KACC 30061, and C.",synergy.text_rules,0.58
patra2016.pdf,3624,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-6,patra2016:rule-12,"glabrata sion of 440nm at 30(cid:2)C reaction temperature using a micro- KBNO 6P00368, C. geochares KACC 30061, and C.",synergy.text_rules,0.58
patra2016.pdf,3625,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-7,patra2016:rule-13,"These species were obtained from the Korean The antioxidant potential of the Fe O nanoparticles was Agricultural Culture Collection (KACC, Suwon, Republic of 3 4 determined in vitro by ABTS [2,20-azino-bis(3-ethyl benzo thia- Korea). Fe O nanoparticles (2mg/mL) and amphotericin b 3 4 zoline-6-sulphonic acid)] free radical scavenging, nitric oxide (200lg/mL) were mixed in a 1:1 ratio and sonicated for scavenging, DPPH (1,1-diphenyl-2-picrylhydrazyl) free radical 15min at room temperature.",synergy.text_rules,0.58
patra2016.pdf,3626,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-7,patra2016:rule-14,"These species were obtained from the Korean The antioxidant potential of the Fe O nanoparticles was Agricultural Culture Collection (KACC, Suwon, Republic of 3 4 determined in vitro by ABTS [2,20-azino-bis(3-ethyl benzo thia- Korea). Fe O nanoparticles (2mg/mL) and amphotericin b 3 4 zoline-6-sulphonic acid)] free radical scavenging, nitric oxide (200lg/mL) were mixed in a 1:1 ratio and sonicated for scavenging, DPPH (1,1-diphenyl-2-picrylhydrazyl) free radical 15min at room temperature.",synergy.text_rules,0.58
patra2016.pdf,3627,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-8,patra2016:rule-15,"Fe O nanoparticles (2mg/mL) and amphotericin b 3 4 zoline-6-sulphonic acid)] free radical scavenging, nitric oxide (200lg/mL) were mixed in a 1:1 ratio and sonicated for scavenging, DPPH (1,1-diphenyl-2-picrylhydrazyl) free radical 15min at room temperature. Antifungal discs were prepared scavenging and reducing power assays.",synergy.text_rules,0.58
patra2016.pdf,3628,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-8,patra2016:rule-16,"Fe O nanoparticles (2mg/mL) and amphotericin b 3 4 zoline-6-sulphonic acid)] free radical scavenging, nitric oxide (200lg/mL) were mixed in a 1:1 ratio and sonicated for scavenging, DPPH (1,1-diphenyl-2-picrylhydrazyl) free radical 15min at room temperature. Antifungal discs were prepared scavenging and reducing power assays.",synergy.text_rules,0.58
patra2016.pdf,3629,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-9,patra2016:rule-17,"Antifungal discs were prepared scavenging and reducing power assays. Butylated hydroxyl by adding 50lL of the Fe O nanoparticles/amphotericin b 3 4 toluene (BHT) (Supelco, Bellefonte, PA) was used as the stand- mixture solution to a 6mm filter paper disc containing 50lg ard reference compound.",synergy.text_rules,0.58
patra2016.pdf,3630,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-9,patra2016:rule-18,"Antifungal discs were prepared scavenging and reducing power assays. Butylated hydroxyl by adding 50lL of the Fe O nanoparticles/amphotericin b 3 4 toluene (BHT) (Supelco, Bellefonte, PA) was used as the stand- mixture solution to a 6mm filter paper disc containing 50lg ard reference compound.",synergy.text_rules,0.58
patra2016.pdf,3631,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-10,patra2016:rule-19,"Butylated hydroxyl by adding 50lL of the Fe O nanoparticles/amphotericin b 3 4 toluene (BHT) (Supelco, Bellefonte, PA) was used as the stand- mixture solution to a 6mm filter paper disc containing 50lg ard reference compound. All experiments were conducted Fe O nanoparticles and 5lg amphotericin b.",synergy.text_rules,0.58
patra2016.pdf,3632,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-10,patra2016:rule-20,"Butylated hydroxyl by adding 50lL of the Fe O nanoparticles/amphotericin b 3 4 toluene (BHT) (Supelco, Bellefonte, PA) was used as the stand- mixture solution to a 6mm filter paper disc containing 50lg ard reference compound. All experiments were conducted Fe O nanoparticles and 5lg amphotericin b.",synergy.text_rules,0.58
patra2016.pdf,3633,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-11,patra2016:rule-21,"The fungal discs. After incubating the plates at 28(cid:2)C for 48h, the absorbance of the reaction mixtures was recorded at 750nm data were obtained by measuring the diameters of the zones using a microplate reader and the results were interpreted of inhibition.",synergy.text_rules,0.58
patra2016.pdf,3634,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-11,patra2016:rule-22,"The fungal discs. After incubating the plates at 28(cid:2)C for 48h, the absorbance of the reaction mixtures was recorded at 750nm data were obtained by measuring the diameters of the zones using a microplate reader and the results were interpreted of inhibition.",synergy.text_rules,0.58
patra2016.pdf,3635,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-12,patra2016:rule-23,"After incubating the plates at 28(cid:2)C for 48h, the absorbance of the reaction mixtures was recorded at 750nm data were obtained by measuring the diameters of the zones using a microplate reader and the results were interpreted of inhibition. according to the following equation: A (cid:3)A Statistical analysis Percentagescavenging¼ con tre (cid:4)100 (1) A con All results were expressed as the mean value of three inde- pendent replicates6the standard deviation (SD).",synergy.text_rules,0.58
patra2016.pdf,3636,nanoparticle,Escherichia coli,Rifampicin,disc_diffusion,,,6,,4,,text-12,patra2016:rule-24,"After incubating the plates at 28(cid:2)C for 48h, the absorbance of the reaction mixtures was recorded at 750nm data were obtained by measuring the diameters of the zones using a microplate reader and the results were interpreted of inhibition. according to the following equation: A (cid:3)A Statistical analysis Percentagescavenging¼ con tre (cid:4)100 (1) A con All results were expressed as the mean value of three inde- pendent replicates6the standard deviation (SD).",synergy.text_rules,0.58
patra2016.pdf,3637,nanoparticle,Escherichia coli,Kanamycin,disc_diffusion,,,6,,4,,text-13,patra2016:rule-25,"according to the following equation: A (cid:3)A Statistical analysis Percentagescavenging¼ con tre (cid:4)100 (1) A con All results were expressed as the mean value of three inde- pendent replicates6the standard deviation (SD). Significance where, A was the absorbance of the control and A was con tre differences between the mean values were identified by one- the absorbance of the treatment.",synergy.text_rules,0.58
