pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
polymers-14-00771-v2.pdf,3901,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-1,polymers-14-00771-v2:rule-1,"FTIR spectrawerethenrecordedusingaShimadzuFTIR-8201PCapparatus(Tokyo,Japan). To getthesignificantsignaltonoiseratio,256outputsofthepreparedfilmwererecordedin therangeof400–4000cm−1.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3902,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-2,polymers-14-00771-v2:rule-2,"To getthesignificantsignaltonoiseratio,256outputsofthepreparedfilmwererecordedin therangeof400–4000cm−1. 2.5.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3903,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-3,polymers-14-00771-v2:rule-3,"2.5. DeterminationofLoadingEfficiencyofCefotaxime(CTX)ontoC-AuNPs To estimate CTX loading efficiency onto C-AuNPs, the produced C-AuNPs were recoveredfromthereactionmixturebycentrifugationfor30minat30,000× g, andthe supernatantwasseparated.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3904,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-4,polymers-14-00771-v2:rule-4,"DeterminationofLoadingEfficiencyofCefotaxime(CTX)ontoC-AuNPs To estimate CTX loading efficiency onto C-AuNPs, the produced C-AuNPs were recoveredfromthereactionmixturebycentrifugationfor30minat30,000× g, andthe supernatantwasseparated. Theconcentrationoffreecefotaximeinthesupernatantwasde- terminedspectrophotometricallyatλ of260nm[32],usingapre-establishedcalibration max curveofCTXatvariousconcentrations.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3905,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-5,polymers-14-00771-v2:rule-5,"Theconcentrationoffreecefotaximeinthesupernatantwasde- terminedspectrophotometricallyatλ of260nm[32],usingapre-establishedcalibration max curveofCTXatvariousconcentrations. Thepercentageloadingefficiencywasdetermined usingthefollowingequation: Loadingefficiency(%) = ((A−B)/A)×100 where, A is the total amount of CTX added during C-AuNPs synthesis, while B is the amountoffreeCTXinthesupernatantofC-AuNPs.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3906,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-6,polymers-14-00771-v2:rule-6,"Thepercentageloadingefficiencywasdetermined usingthefollowingequation: Loadingefficiency(%) = ((A−B)/A)×100 where, A is the total amount of CTX added during C-AuNPs synthesis, while B is the amountoffreeCTXinthesupernatantofC-AuNPs. 2.6.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3907,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-7,polymers-14-00771-v2:rule-7,2.6. AssessmentofAntibacterialActivity 2.6.1.,synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3908,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-8,polymers-14-00771-v2:rule-8,AssessmentofAntibacterialActivity 2.6.1. AgarWellDiffusionMethod TheantimicrobialactionofpureCTXandC-AuNPswasdeterminedusingtheagar welldiffusionmethod.,synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3909,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-9,polymers-14-00771-v2:rule-9,"AgarWellDiffusionMethod TheantimicrobialactionofpureCTXandC-AuNPswasdeterminedusingtheagar welldiffusionmethod. A100µLfractionofeachmicrobialinoculum(namely,Eschrichia coli,Klebsiellaoxytoca,PseudomonasaeruginosaandStaphylococcusaureus)wasobtainedusing a micropipette to ensure a uniform lawn of cells onto the agar plates.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3910,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-10,polymers-14-00771-v2:rule-10,"A100µLfractionofeachmicrobialinoculum(namely,Eschrichia coli,Klebsiellaoxytoca,PseudomonasaeruginosaandStaphylococcusaureus)wasobtainedusing a micropipette to ensure a uniform lawn of cells onto the agar plates. The agar plates were inoculated by evenly swabbing across the whole surface of the plate three times androtatingthePetriplatesata60◦ angleaftereachapplication.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3911,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.46,,,4,,text-11,polymers-14-00771-v2:rule-11,"The agar plates were inoculated by evenly swabbing across the whole surface of the plate three times androtatingthePetriplatesata60◦ angleaftereachapplication. Followingthat,ahole (6mmindiameter)wasasepticallypunchedwithasterilecorktip,and100µLofC-AuNPs (4.19µg/well;asdeterminedbyloadingefficiency)andpureCTX(20µg/well)werepoured intothewells,however,phosphatebuffersaline(PBS)wasusedasacontrol.Theagarplates werethenincubatedunderappropriateconditionsovernightat37◦C.Post-incubation,the Petriplateswereexaminedforthezoneofinhibition,whichwasquantifiedinmillimetres usingamillimetrescale.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3912,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.46,,,4,,text-12,polymers-14-00771-v2:rule-12,"100µLofC-AuNPs (4.19µg/well;asdeterminedbyloadingefficiency)andpureCTX(20µg/well)werepoured intothewells,however,phosphatebuffersaline(PBS)wasusedasacontrol.Theagarplates werethenincubatedunderappropriateconditionsovernightat37◦C.Post-incubation,the Petriplateswereexaminedforthezoneofinhibition,whichwasquantifiedinmillimetres usingamillimetrescale. Topreventtheerror,theexperimentswereperformedthreetimes.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3913,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.46,,,4,,text-13,polymers-14-00771-v2:rule-13,"Topreventtheerror,theexperimentswereperformedthreetimes. Theinhibitoryzonewasdeterminedasmean±standarddeviation.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3914,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.46,,,4,,text-14,polymers-14-00771-v2:rule-14,Theinhibitoryzonewasdeterminedasmean±standarddeviation. 2.6.2.,synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3915,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-15,polymers-14-00771-v2:rule-15,"2.6.2. DeterminationofMinimalInhibitoryConcentration(MIC) ThebrothmicrodilutionmethodwasadoptedtoestimatetheMICsofsynthesized C-AuNPsagainstdifferentbacterialstrains,asdescribedpreviously[33].",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3916,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-16,polymers-14-00771-v2:rule-16,"DeterminationofMinimalInhibitoryConcentration(MIC) ThebrothmicrodilutionmethodwasadoptedtoestimatetheMICsofsynthesized C-AuNPsagainstdifferentbacterialstrains,asdescribedpreviously[33]. Briefly,ina96- wellplate,aliquotsof10µLofeachbacterialinoculum(1×105CFU/mL)wereinoculated to each well.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3917,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-17,polymers-14-00771-v2:rule-17,"Briefly,ina96- wellplate,aliquotsof10µLofeachbacterialinoculum(1×105CFU/mL)wereinoculated to each well. Subsequently, serial dilutions of the synthesized C-AuNPs, in sterilized double distilled water, within the concentration range of 0.46 µg/mL were then added toeachwell.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3918,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-18,polymers-14-00771-v2:rule-18,"Subsequently, serial dilutions of the synthesized C-AuNPs, in sterilized double distilled water, within the concentration range of 0.46 µg/mL were then added toeachwell. Additionally,aliquotsoffreecefotaxime(0.46to30µg/mL)wereaddedto eachwellforcomparison.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3919,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-19,polymers-14-00771-v2:rule-19,"Additionally,aliquotsoffreecefotaxime(0.46to30µg/mL)wereaddedto eachwellforcomparison. AfteraddingtheCTXandC-AuNPs,theplateswerefurther incubatedat37◦Cfor24h.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3920,Au,NOT_DETECTED,NOT_DETECTED,viability (%),,0.46,,,4,,text-20,polymers-14-00771-v2:rule-20,"AfteraddingtheCTXandC-AuNPs,theplateswerefurther incubatedat37◦Cfor24h. Afterwards,cellviabilitywasassessedusinganELISAplate reader at 625 nm.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3921,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-21,polymers-14-00771-v2:rule-21,"Afterwards,cellviabilitywasassessedusinganELISAplate reader at 625 nm. The MIC was the lowest concentration of synthesized C-AuNPs or freeCTXthatefficientlysuppressedthebacterialgrowthafterovernightincubation.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3922,Au,NOT_DETECTED,NOT_DETECTED,MIC,,0.46,,,4,,text-22,polymers-14-00771-v2:rule-22,The MIC was the lowest concentration of synthesized C-AuNPs or freeCTXthatefficientlysuppressedthebacterialgrowthafterovernightincubation. PBS,synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3923,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-1,polymers-14-00771-v2:rule-23,3.2.6. PercentLoadingofCTXoverC-AuNPs Loadingefficiencyrepresentsoneoftheessentialparametersforthecharacterization of nanoparticles.,synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3924,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-2,polymers-14-00771-v2:rule-24,"PercentLoadingofCTXoverC-AuNPs Loadingefficiencyrepresentsoneoftheessentialparametersforthecharacterization of nanoparticles. Herein, the loading efficiency of CTX onto AuNPs, manifested as the percentageofdrugthatissuccessfullyattached/loadedontothesurfaceofthenanoparti- cles,wasdeterminedtobe83.94%.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3925,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-3,polymers-14-00771-v2:rule-25,"Herein, the loading efficiency of CTX onto AuNPs, manifested as the percentageofdrugthatissuccessfullyattached/loadedontothesurfaceofthenanoparti- cles,wasdeterminedtobe83.94%. Outof50µg/mLofCTXincorporatedinthereaction mixture,41.97µg/mLhadbeenloadedontothesurfaceofAuNPs.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3926,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-4,polymers-14-00771-v2:rule-26,"Outof50µg/mLofCTXincorporatedinthereaction mixture,41.97µg/mLhadbeenloadedontothesurfaceofAuNPs. Thisresultindicates theefficientloadingofCTXontothesurfaceofC–AuNPsandnullifiesthesignificantloss ofdrugunderourproposedpreparationconditions.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3927,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-5,polymers-14-00771-v2:rule-27,Thisresultindicates theefficientloadingofCTXontothesurfaceofC–AuNPsandnullifiesthesignificantloss ofdrugunderourproposedpreparationconditions. 3.3.,synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3928,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-6,polymers-14-00771-v2:rule-28,"3.3. AntibacterialActivityAnalysisofC-AuNPs TheantibacterialabilitiesofC-AuNPs,pureCTXandAuNPsalone(ascontrol)were validatedbytestingthemagainstGram-negative(Escherichiacoli,Klebsiellaoxytoca,Pseu- domonasaeruginosa)andGram-positive(Staphylococcusaureus)bacterialstrains.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3929,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-7,polymers-14-00771-v2:rule-29,"AntibacterialActivityAnalysisofC-AuNPs TheantibacterialabilitiesofC-AuNPs,pureCTXandAuNPsalone(ascontrol)were validatedbytestingthemagainstGram-negative(Escherichiacoli,Klebsiellaoxytoca,Pseu- domonasaeruginosa)andGram-positive(Staphylococcusaureus)bacterialstrains. Following the experiment, it was noted that pure CTX and C-AuNPs diffused into the agar and stronglysuppressedbacterialgrowth(asshowninTable1).",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3930,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-8,polymers-14-00771-v2:rule-30,"Following the experiment, it was noted that pure CTX and C-AuNPs diffused into the agar and stronglysuppressedbacterialgrowth(asshowninTable1). Itisnoteworthythatthecon- centrationofCTXinC-AuNPswasonly4.19µg/wellincomparisontotheconcentration ofpureCTXi.e.,20µg/well.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3931,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-9,polymers-14-00771-v2:rule-31,"Itisnoteworthythatthecon- centrationofCTXinC-AuNPswasonly4.19µg/wellincomparisontotheconcentration ofpureCTXi.e.,20µg/well. Thus,thedataimplythatusingaverymodestamountof C-AuNPscomparedtopureCTXandAuNPsalonecanbeequallyefficientagainstthe testedbacterial strains.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3932,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-10,polymers-14-00771-v2:rule-32,"Thus,thedataimplythatusingaverymodestamountof C-AuNPscomparedtopureCTXandAuNPsalonecanbeequallyefficientagainstthe testedbacterial strains. Our primaryfindingsestablished thatC-AuNPsoutperformed CTXalone.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3933,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-11,polymers-14-00771-v2:rule-33,"Our primaryfindingsestablished thatC-AuNPsoutperformed CTXalone. ThisimprovedantibacterialpotentialofC-AuNPsoverfreeCTXandAuNPs was possibly because AuNPs contain a significant pile of CTX, which is readily taken upbybacteriaandescapedthedegradationbybacterialenzymes.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3934,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-12,polymers-14-00771-v2:rule-34,"ThisimprovedantibacterialpotentialofC-AuNPsoverfreeCTXandAuNPs was possibly because AuNPs contain a significant pile of CTX, which is readily taken upbybacteriaandescapedthedegradationbybacterialenzymes. Inaddition, AuNPs itselfarecapableofcausingbacterialDNAdamage,presumablyviadirectinteractionand blockingunwindingduringthetranscriptionprocess[41–43],thatmighthaveresultedin highantibacterialpotential.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3935,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-13,polymers-14-00771-v2:rule-35,"Inaddition, AuNPs itselfarecapableofcausingbacterialDNAdamage,presumablyviadirectinteractionand blockingunwindingduringthetranscriptionprocess[41–43],thatmighthaveresultedin highantibacterialpotential. TheresultsareshowninTable1asazoneofinhibition.",synergy.text_rules,0.58
polymers-14-00771-v2.pdf,3936,Au,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,0.5,,,8,,text-14,polymers-14-00771-v2:rule-36,TheresultsareshowninTable1asazoneofinhibition. Table1.StandarddruganalysisforGram-positiveandGram-negativebacterialstrains.,synergy.text_rules,0.58
