pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
processes-11-00272.pdf,4107,TiO2,Klebsiella pneumoniae,NOT_DETECTED,disc_diffusion,,0.45,,,1,,text-6,processes-11-00272:rule-1,"cerevisiae)andfungi(Aspergillusniger,andPenicilliumdigitatum)assayedbyadiscdiffusionmethod. Hamdi,H.Characterizationand TiO NPsinhibitedalltestedstrainsbymeaninhibitionzone(MIZ),whichrangedfromthelowest 2 BiologicalStudiesofSynthesized 15.7 ± 0.45 mm against K.",synergy.text_rules,0.58
processes-11-00272.pdf,4108,TiO2,Klebsiella pneumoniae,NOT_DETECTED,disc_diffusion,,0.45,,,1,,text-7,processes-11-00272:rule-2,"Hamdi,H.Characterizationand TiO NPsinhibitedalltestedstrainsbymeaninhibitionzone(MIZ),whichrangedfromthelowest 2 BiologicalStudiesofSynthesized 15.7 ± 0.45 mm against K. pneumoniae to the highest 30.3 ± 0.25 against Aspergillus niger.",synergy.text_rules,0.58
processes-11-00272.pdf,4109,TiO2,Escherichia coli,NOT_DETECTED,MIC,,0.25,,,8,,text-1,processes-11-00272:rule-3,"Processes 2023, 11, x FOR PEER REVIEW 8 of 16 3.2.3. Transmission Electron Microscopy (TEM) TEM image of the biosynthesized TiO2 NPs (Figure 4) revealed that the morphology of the biosynthesized titanium oxide nanoparticles possesses a uniform spherical struc- ture in shape having a diameter in the range of 10–30 nm.",synergy.text_rules,0.58
processes-11-00272.pdf,4110,TiO2,Escherichia coli,NOT_DETECTED,MIC,,0.25,,,8,,text-2,processes-11-00272:rule-4,Transmission Electron Microscopy (TEM) TEM image of the biosynthesized TiO2 NPs (Figure 4) revealed that the morphology of the biosynthesized titanium oxide nanoparticles possesses a uniform spherical struc- ture in shape having a diameter in the range of 10–30 nm. Figure 4.,synergy.text_rules,0.58
processes-11-00272.pdf,4111,TiO2,Escherichia coli,NOT_DETECTED,MIC,,0.25,,,8,,text-3,processes-11-00272:rule-5,Figure 4. Transmission electron microscopy (TEM) image of the biosynthesized TiO2 NPs.,synergy.text_rules,0.58
processes-11-00272.pdf,4112,TiO2,Escherichia coli,NOT_DETECTED,MIC,,0.25,,,8,,text-4,processes-11-00272:rule-6,Transmission electron microscopy (TEM) image of the biosynthesized TiO2 NPs. 3.2.4.,synergy.text_rules,0.58
processes-11-00272.pdf,4113,TiO2,Escherichia coli,NOT_DETECTED,MIC,,0.25,,,8,,text-5,processes-11-00272:rule-7,The existen8ceo fo1f5 peak pattern confirmed the crystal structure of TiO2 NPs. XRD pattern showed the crys- talline nature of the TiO2 nanoparticles and the calculated average size of TiO2 nanopar- ticles ~10 nm.,synergy.text_rules,0.58
processes-11-00272.pdf,4114,TiO2,Escherichia coli,NOT_DETECTED,MIC,,0.25,,,8,,text-6,processes-11-00272:rule-8,XRD pattern showed the crys- talline nature of the TiO2 nanoparticles and the calculated average size of TiO2 nanopar- ticles ~10 nm. The peaks sharpness and the absence of unknown peaks confirmed the nature of the TiO nanoparticles and the calculated average size of TiO nanoparticles 2 2 c~r1y0stnamlli.nTeh neaptuearek sanshda hrpignhe spsuarnitdy tohfe tahbes beinocseyonfthuenskizneodw TniOpe2 aNkPssc.o nfirmedthecrystalline natureandhighpurityofthebiosynthesizedTiO NPs.,synergy.text_rules,0.58
processes-11-00272.pdf,4115,TiO2,Escherichia coli,NOT_DETECTED,MIC,,0.25,,,8,,text-7,processes-11-00272:rule-9,2 Figure 6. FTIR speFcigtruurme6 o.Ff TthIRe sbpieocstyrunmthoefsthizeebdio TsyinOth2 eNsizPesd.,synergy.text_rules,0.58
processes-11-00272.pdf,4116,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,0.25,,,8,,text-8,processes-11-00272:rule-10,FTIR speFcigtruurme6 o.Ff TthIRe sbpieocstyrunmthoefsthizeebdio TsyinOth2 eNsizPesd. TiO 2 NPs.,synergy.text_rules,0.58
