pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
rajakumar2012.pdf,4177,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-1,rajakumar2012:rule-1,Rajakumar et al. / Spectrochimica Acta Part A 91 (2012) 23– 29 exposed to aqueous Pb2+ ions and CdS nanoparticles synthesized intracellularly by using Schizosaccharomyces pombe.,synergy.text_rules,0.58
rajakumar2012.pdf,4178,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-2,rajakumar2012:rule-2,/ Spectrochimica Acta Part A 91 (2012) 23– 29 exposed to aqueous Pb2+ ions and CdS nanoparticles synthesized intracellularly by using Schizosaccharomyces pombe. Bhainsa and D’Souza [7] reported the monodispersed silver nanoparticles within 10 min by using Aspergillus fumigatus.,synergy.text_rules,0.58
rajakumar2012.pdf,4179,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-3,rajakumar2012:rule-3,and Sachharomyces cerevisiae were used to synthesis TiO NPs 2 [10]. The use of fungi in the syn- thesis of nanoparticles is a relatively recent addition to the list of microorganisms possessing nanoparticle biosynthesis “ability”.,synergy.text_rules,0.58
rajakumar2012.pdf,4180,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-4,rajakumar2012:rule-4,The use of fungi in the syn- thesis of nanoparticles is a relatively recent addition to the list of microorganisms possessing nanoparticle biosynthesis “ability”. Application of fungi to produce nanoparticles is potentially exciting because of their ability to secrete large amounts of enzymes.,synergy.text_rules,0.58
rajakumar2012.pdf,4181,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-5,rajakumar2012:rule-5,"cerevisae were used for synthesis of silver and gold nanoparticles [14]. The silver nanoparticles produced by the fungus Amylomyces rouxii showed antimicrobial activity against Shigella dysenteriae type I, Staphylococcus aureus, Citrobacter sp., Escherichia coli, Pseudomonas aeruginosa, Bacillus subtilis, Candida albicans and F.",synergy.text_rules,0.58
rajakumar2012.pdf,4182,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-6,rajakumar2012:rule-6,"The silver nanoparticles produced by the fungus Amylomyces rouxii showed antimicrobial activity against Shigella dysenteriae type I, Staphylococcus aureus, Citrobacter sp., Escherichia coli, Pseudomonas aeruginosa, Bacillus subtilis, Candida albicans and F. oxysporum [15].",synergy.text_rules,0.58
rajakumar2012.pdf,4183,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-7,rajakumar2012:rule-7,"oxysporum [15]. The advantages of this method include use of cheap, non- toxic and environmentally benign precursors.",synergy.text_rules,0.58
rajakumar2012.pdf,4184,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-8,rajakumar2012:rule-8,"The advantages of this method include use of cheap, non- toxic and environmentally benign precursors. Nanoscale titanium dioxide have been used as sunscreens in cosmetics, the primary advantage of using these nanoparticles are well dispersed and transmit visible light, acting as transparent sunblocks.",synergy.text_rules,0.58
rajakumar2012.pdf,4185,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-9,rajakumar2012:rule-9,"Nanoscale titanium dioxide have been used as sunscreens in cosmetics, the primary advantage of using these nanoparticles are well dispersed and transmit visible light, acting as transparent sunblocks. Producing of titanium nanoparticles using microorganisms are preferable com- pare to physical and chemical methods in aspects of energy, costs and security [16].",synergy.text_rules,0.58
rajakumar2012.pdf,4186,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-10,rajakumar2012:rule-10,"Producing of titanium nanoparticles using microorganisms are preferable com- pare to physical and chemical methods in aspects of energy, costs and security [16]. In the present investigation, TiO NPs 2 were syn- thesized using A.",synergy.text_rules,0.58
rajakumar2012.pdf,4187,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-11,rajakumar2012:rule-11,"flavus (MTCC no. 7369) culture was obtained from Micro- bial Type Culture Collection and Gene Bank, Chandigarh, India.",synergy.text_rules,0.58
rajakumar2012.pdf,4188,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-12,rajakumar2012:rule-12,"7369) culture was obtained from Micro- bial Type Culture Collection and Gene Bank, Chandigarh, India. All chemicals used were of analytical grade.",synergy.text_rules,0.58
rajakumar2012.pdf,4189,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-13,rajakumar2012:rule-13,"All chemicals used were of analytical grade. To prepare biomass for biosynthesis studies the fungus were grown aerobically in a liq- uid media containing (g/l) KH PO , 2 4 7.0: K HPO , 2 4 2.0;",synergy.text_rules,0.58
rajakumar2012.pdf,4190,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-14,rajakumar2012:rule-14,"After 5 days of incubation, the mycelium was separated by filtration and washed thrice with Milli-Q deionized water. The washed mycelium (5 g fresh weight) was challenged with 100 mL of 1 mM TiO (prepared 2 in deionized water) and incubated in shaker at 200 rpm in dark condition at 37◦C.",synergy.text_rules,0.58
rajakumar2012.pdf,4191,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-15,rajakumar2012:rule-15,"The washed mycelium (5 g fresh weight) was challenged with 100 mL of 1 mM TiO (prepared 2 in deionized water) and incubated in shaker at 200 rpm in dark condition at 37◦C. Simultaneously, a positive control of incubating the fungus mycelium with deionized water and a negative control containing only TiO solution 2 were maintained under same conditions [10].",synergy.text_rules,0.58
rajakumar2012.pdf,4192,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-16,rajakumar2012:rule-16,The freeze-dried mycelia mats (TiO NPs 2 synthesized sample) were mounted on specimen stubs with double-sided adhesive tape and coated with gold/palladium in a sputter coater and examined under Philips®XL 30 SEM at 12–15 kV with a tilt angle of 45◦. The size of the nanoparticles is confirmed by using TEM analysis (transmission electron microscopy – Hitachi H-7100 using an accelerating voltage of 120 kV and methanol as solvent).,synergy.text_rules,0.58
rajakumar2012.pdf,4193,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-17,rajakumar2012:rule-17,The size of the nanoparticles is confirmed by using TEM analysis (transmission electron microscopy – Hitachi H-7100 using an accelerating voltage of 120 kV and methanol as solvent). 2.3.,synergy.text_rules,0.58
rajakumar2012.pdf,4194,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-18,rajakumar2012:rule-18,2.3. Antimicrobial activity 2.3.1.,synergy.text_rules,0.58
rajakumar2012.pdf,4195,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-19,rajakumar2012:rule-19,Antimicrobial activity 2.3.1. Agar diffusion assay The antimicrobial activity of synthesized TiO NPs 2 was eval- uated against S.,synergy.text_rules,0.58
rajakumar2012.pdf,4196,nanoparticle,Staphylococcus aureus,Tetracycline,MIC,,,1,,2,,text-20,rajakumar2012:rule-20,"Agar diffusion assay The antimicrobial activity of synthesized TiO NPs 2 was eval- uated against S. aureus (MTCC-3160), E.",synergy.text_rules,0.58
rajakumar2012.pdf,4197,Ag,Pseudomonas aeruginosa,Tetracycline,MIC,,,1,,2,,text-21,rajakumar2012:rule-21,"coli (MTCC-1721), P. aeruginosa (MTCC-1034), Klebsiella pneumoniae (MTCC-4030) and B.",synergy.text_rules,0.58
rajakumar2012.pdf,4198,Ag,Bacillus subtilis,Tetracycline,MIC,,,1,,2,,text-22,rajakumar2012:rule-22,"aeruginosa (MTCC-1034), Klebsiella pneumoniae (MTCC-4030) and B. subtilis (MTCC-1427).",synergy.text_rules,0.58
rajakumar2012.pdf,4199,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-23,rajakumar2012:rule-23,Exactly 0.2 ml of fresh cultures of each organism was inoculated into 5 ml of sterile nutrient broth (Hi Media) and incubated for 3–5 h to standardize the culture to McFarland standards (106CFC/ml). Three replicates of respective microorganism were prepared by spreading 100 (cid:2)l of revived cul- ture on MHA (Mueller Hinton Agar-Hi Media) media with the help of spreader.,synergy.text_rules,0.58
rajakumar2012.pdf,4200,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-24,rajakumar2012:rule-24,Three replicates of respective microorganism were prepared by spreading 100 (cid:2)l of revived cul- ture on MHA (Mueller Hinton Agar-Hi Media) media with the help of spreader. Well was made having a diameter of about 7 mm and 50 (cid:2)l samples of synthesized TiO NPs 2 were added in one well and 50 (cid:2)l tetracycline (2000 units) was also added in a separate well as standard.,synergy.text_rules,0.58
rajakumar2012.pdf,4201,nanoparticle,Escherichia coli,Tetracycline,disc_diffusion,,7,1,,2,,text-25,rajakumar2012:rule-25,Well was made having a diameter of about 7 mm and 50 (cid:2)l samples of synthesized TiO NPs 2 were added in one well and 50 (cid:2)l tetracycline (2000 units) was also added in a separate well as standard. The petri plates were incubated at 37◦C for 24 h in incubator during which activity was evidenced by the presence of a zone of inhibition (mm) surrounding the well.,synergy.text_rules,0.58
rajakumar2012.pdf,4202,Ag,Escherichia coli,Tetracycline,disc_diffusion,,,1,,2,,text-26,rajakumar2012:rule-26,The petri plates were incubated at 37◦C for 24 h in incubator during which activity was evidenced by the presence of a zone of inhibition (mm) surrounding the well. 2.3.2.,synergy.text_rules,0.58
rajakumar2012.pdf,4203,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-27,rajakumar2012:rule-27,2.3.2. Minimum inhibitory concentration (MIC) The microdilution method for estimation of MIC values was car- ried out to evaluate the antimicrobial activity.,synergy.text_rules,0.58
rajakumar2012.pdf,4204,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-28,rajakumar2012:rule-28,Minimum inhibitory concentration (MIC) The microdilution method for estimation of MIC values was car- ried out to evaluate the antimicrobial activity. The MIC values were determined on 96-well microdilution plates and according to pub- lished protocols [18].,synergy.text_rules,0.58
rajakumar2012.pdf,4205,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-29,rajakumar2012:rule-29,The MIC values were determined on 96-well microdilution plates and according to pub- lished protocols [18]. 2.4.,synergy.text_rules,0.58
rajakumar2012.pdf,4206,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-30,rajakumar2012:rule-30,"2 The peak observed at 590 cm−1 is due to the vibration of the Ti O O bond. The FTIR spectrum firmly suggests the presence of Ti O bonds, and the absence of peroxo, and OH groups in the final prod- uct.",synergy.text_rules,0.58
rajakumar2012.pdf,4207,nanoparticle,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-31,rajakumar2012:rule-31,"The FTIR spectrum firmly suggests the presence of Ti O bonds, and the absence of peroxo, and OH groups in the final prod- uct. The TiO NPs 2 prepared by this method are of good quality and can be used for the further applications.",synergy.text_rules,0.58
rajakumar2012.pdf,4208,Ag,Escherichia coli,Tetracycline,MIC,,,1,,2,,text-32,rajakumar2012:rule-32,flavus using TiO . 2 A strong absorption peak at 1779 cm−1 is characteristic of asymmetrical C O coupled (str.),synergy.text_rules,0.58
