pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
1-s2.0-S0944501315300136-main.pdf,1,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-1,1-s2.0-S0944501315300136-main:rule-1,Balakumaran et al. / Microbiological Research 182 (2016) 8–20 2.5.1.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,2,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-2,1-s2.0-S0944501315300136-main:rule-2,"/ Microbiological Research 182 (2016) 8–20 2.5.1. 18S rDNA sequencing and phylogenetic analysis Among the 65 soil fungi tested, the isolate Bios PTK 6 syn- thesized extremely stable silver and gold nanoparticles within 12 h;",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,3,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-3,1-s2.0-S0944501315300136-main:rule-3,"18S rDNA sequencing and phylogenetic analysis Among the 65 soil fungi tested, the isolate Bios PTK 6 syn- thesized extremely stable silver and gold nanoparticles within 12 h; hence, it was further chosen for molecular identification.",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,4,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-4,1-s2.0-S0944501315300136-main:rule-4,"hence, it was further chosen for molecular identification. The fungal genomic DNA was isolated by CTAB extraction method according to the procedure of Stirling (2003) and PCR amplifi- cation was done using ITS 1 and ITS 2 primers as described by White et al.",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,5,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-5,1-s2.0-S0944501315300136-main:rule-5,The fungal genomic DNA was isolated by CTAB extraction method according to the procedure of Stirling (2003) and PCR amplifi- cation was done using ITS 1 and ITS 2 primers as described by White et al. (1990) .,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,6,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-6,1-s2.0-S0944501315300136-main:rule-6,"The purified PCR products were sequenced using ABI 3730xl Genetic Analyzer by BigDye terminator method (Applied Biosystems, USA). The 18S rDNA sequence of this fungus was aligned with reference sequences showing sequence homology from the NCBI database using multiple sequence alignment programme.",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,7,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-7,1-s2.0-S0944501315300136-main:rule-7,The 18S rDNA sequence of this fungus was aligned with reference sequences showing sequence homology from the NCBI database using multiple sequence alignment programme. Phylogenetic tree was constructed by maximum parsimony analysis method using Close Neighbor-Interchange (CNI) algorithm.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,8,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-8,1-s2.0-S0944501315300136-main:rule-8,"The tree was rooted using Amanita muscaria (accession number EU236711.1) as an out group. The sta- bility of trees obtained from the above cluster analysis was assessed using bootstrap programme in sets of 1000 resamplings by MEGA4 (Tamura et al., 2007).",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,9,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-9,1-s2.0-S0944501315300136-main:rule-9,"The sta- bility of trees obtained from the above cluster analysis was assessed using bootstrap programme in sets of 1000 resamplings by MEGA4 (Tamura et al., 2007). 2.5.2.",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,10,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-10,1-s2.0-S0944501315300136-main:rule-10,"Optimization of silver and gold nanoparticles Different concentrations of fungal biomass such as 10, 20, and 30 g/100 mL were optimized for the better synthesis of sil- ver nanoparticles. Different concentrations of silver nitrate ranging from 1 to 10 mM were added to the mycelial free extract and incu- bated at different pH values (1–10) and temperatures (30–80◦C) for various time periods up to 48 h.",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,11,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-11,1-s2.0-S0944501315300136-main:rule-11,Different concentrations of silver nitrate ranging from 1 to 10 mM were added to the mycelial free extract and incu- bated at different pH values (1–10) and temperatures (30–80◦C) for various time periods up to 48 h. The pH was adjusted using 0.1 N HCl or 0.1 N NaOH solutions and the absorbance of the resulting solution (after color change) was measured spectrophotometrically.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,12,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-12,1-s2.0-S0944501315300136-main:rule-12,2.6. Characterization of mycosynthesized silver and gold nanoparticles Preliminary characterization of silver and gold nanoparticles was done through visual observation for change in color.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,13,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-13,1-s2.0-S0944501315300136-main:rule-13,Characterization of mycosynthesized silver and gold nanoparticles Preliminary characterization of silver and gold nanoparticles was done through visual observation for change in color. Time- dependent formation of silver and gold nanoparticles was observed using UV–vis.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,14,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-14,1-s2.0-S0944501315300136-main:rule-14,spectrophotometer. The mycosynthesized silver nanoparticles was confirmed by sampling the reaction mixture at regular intervals and the absorption spectra was scanned at the wavelength of 300–700 nm in Hitachi-U 2900 spectrophotometer.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,15,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-15,1-s2.0-S0944501315300136-main:rule-15,"The mycosynthesized silver nanoparticles was confirmed by sampling the reaction mixture at regular intervals and the absorption spectra was scanned at the wavelength of 300–700 nm in Hitachi-U 2900 spectrophotometer. For electron microscopic studies, 10 (cid:2)L of mycosynthesized sil- ver nanoparticles was drop coated on carbon grid and the images of nanoparticles were studied using high resolution-transmission electron microscopy (HR-TEM) assisted with energy dispersive X- ray spectroscopy (EDX) (FEI Tecnai);",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,16,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-16,1-s2.0-S0944501315300136-main:rule-16,"For electron microscopic studies, 10 (cid:2)L of mycosynthesized sil- ver nanoparticles was drop coated on carbon grid and the images of nanoparticles were studied using high resolution-transmission electron microscopy (HR-TEM) assisted with energy dispersive X- ray spectroscopy (EDX) (FEI Tecnai); also, selected area electron diffraction (SAED) pattern was analyzed.",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,17,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-17,1-s2.0-S0944501315300136-main:rule-17,"For X-ray diffraction (XRD) studies, dried nanoparticles were coated on XRD grid and the spectra were recorded by using Philips PW1830 X-ray generator operated at a voltage of 40 kV and a current of 30 mA with Cu K(cid:3)1 radiation. Further, the concentration of mycosynthesized silver nanoparticles was determined using inductively plasma-atomic coupled emission spectrometer (ICP-AES) (ARCOS, Spectro, Germany).",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,18,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-18,1-s2.0-S0944501315300136-main:rule-18,"Further, the concentration of mycosynthesized silver nanoparticles was determined using inductively plasma-atomic coupled emission spectrometer (ICP-AES) (ARCOS, Spectro, Germany). An electrokinetic measurement of silver nanoparticles as a function of pH in 1 × 10−3mol dm−3 aqueous solution was evaluated using zetasizer (Malvern Instruments, Worcestershire, United Kingdom).",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,19,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-19,1-s2.0-S0944501315300136-main:rule-19,2.7. Antimicrobial activity of myco-derived silver and gold nanoparticles 2.7.1.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,20,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-20,1-s2.0-S0944501315300136-main:rule-20,"Antimicrobial activity of myco-derived silver and gold nanoparticles 2.7.1. Well diffusion assay In this study, seven different human pathogenic bacteria E.",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,21,Ag,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-21,1-s2.0-S0944501315300136-main:rule-21,"Well diffusion assay In this study, seven different human pathogenic bacteria E. coli ATCC 8739, Pseudomonas aeruginosa ATCC 27853, Kleb- siella pneumoniae ATCC 2719 (Gram-negative), Enterococcus faecalis ATCC 29212, Bacillus subtilis ATCC 6633, methicillin-resistant S.",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,22,Ag,Staphylococcus aureus,NOT_DETECTED,MIC,,10,,,3,,text-22,1-s2.0-S0944501315300136-main:rule-22,"coli ATCC 8739, Pseudomonas aeruginosa ATCC 27853, Kleb- siella pneumoniae ATCC 2719 (Gram-negative), Enterococcus faecalis ATCC 29212, Bacillus subtilis ATCC 6633, methicillin-resistant S. aureus (MRSA), S.",synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,23,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-23,1-s2.0-S0944501315300136-main:rule-23,albicans ATCC 2091 were used as test organisms and grown in Mueller-Hinton agar (MHA) medium. Well diffusion assay was performed to determine the antimicrobial activity of mycosyn- thesized silver and gold nanoparticles.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,24,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-24,1-s2.0-S0944501315300136-main:rule-24,Well diffusion assay was performed to determine the antimicrobial activity of mycosyn- thesized silver and gold nanoparticles. Twenty five micro litres of silver and gold nanoparticles were loaded separately into each well of the Petri plates.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,25,Au,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-25,1-s2.0-S0944501315300136-main:rule-25,Twenty five micro litres of silver and gold nanoparticles were loaded separately into each well of the Petri plates. Mycelial free extract was used to compare the antimicrobial activity of synthesized nanoparticles;,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,26,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,10,,,3,,text-26,1-s2.0-S0944501315300136-main:rule-26,Mycelial free extract was used to compare the antimicrobial activity of synthesized nanoparticles; also strepto- mycin (1 mg/mL) was used as a positive control for bacterial strains while fluconazole (1 mg/mL) was adopted in case of yeast pathogen.,synergy.text_rules,0.58
1-s2.0-S0944501315300136-main.pdf,27,Ag,Escherichia coli,NOT_DETECTED,disc_diffusion,,10,,,3,,text-27,1-s2.0-S0944501315300136-main:rule-27,"also strepto- mycin (1 mg/mL) was used as a positive control for bacterial strains while fluconazole (1 mg/mL) was adopted in case of yeast pathogen. After inoculation, the plates were incubated at 37◦C for 24 h and the zone of inhibition (ZOI) was measured in terms of millimetre.",synergy.text_rules,0.58
