pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
roshmi2015.pdf,4314,Ag,NOT_DETECTED,Ciprofloxacin,disc_diffusion,,1,,,3,,text-9,roshmi2015:rule-1,"HAuCl solution antibiotics against CoNS strains (S. epidermidis 73,152, 78 4 (1 mM) and bacterial supernatant obtained after and S.haemolyticus 41) were conducted by standard ultrasonicationofbiomasswerepouredontorespectivewells microbroth dilution method according to the guidelines of as negative control, and plates were incubated at 37 °C for the Clinical Laboratory Standards Institute(CLSI)using 96- 24h.Theformationofclearzonearoundthewellsistakenas well microtiter plates (Thermo Scientific Varioskan Flash an indication of antibacterial activity.",synergy.text_rules,0.58
roshmi2015.pdf,4315,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,1,,,3,,text-9,roshmi2015:rule-2,"HAuCl solution antibiotics against CoNS strains (S. epidermidis 73,152, 78 4 (1 mM) and bacterial supernatant obtained after and S.haemolyticus 41) were conducted by standard ultrasonicationofbiomasswerepouredontorespectivewells microbroth dilution method according to the guidelines of as negative control, and plates were incubated at 37 °C for the Clinical Laboratory Standards Institute(CLSI)using 96- 24h.Theformationofclearzonearoundthewellsistakenas well microtiter plates (Thermo Scientific Varioskan Flash an indication of antibacterial activity.",synergy.text_rules,0.58
roshmi2015.pdf,4316,Ag,NOT_DETECTED,Rifampicin,disc_diffusion,,1,,,3,,text-9,roshmi2015:rule-3,"HAuCl solution antibiotics against CoNS strains (S. epidermidis 73,152, 78 4 (1 mM) and bacterial supernatant obtained after and S.haemolyticus 41) were conducted by standard ultrasonicationofbiomasswerepouredontorespectivewells microbroth dilution method according to the guidelines of as negative control, and plates were incubated at 37 °C for the Clinical Laboratory Standards Institute(CLSI)using 96- 24h.Theformationofclearzonearoundthewellsistakenas well microtiter plates (Thermo Scientific Varioskan Flash an indication of antibacterial activity.",synergy.text_rules,0.58
roshmi2015.pdf,4317,Ag,NOT_DETECTED,Vancomycin,disc_diffusion,,1,,,3,,text-9,roshmi2015:rule-4,"HAuCl solution antibiotics against CoNS strains (S. epidermidis 73,152, 78 4 (1 mM) and bacterial supernatant obtained after and S.haemolyticus 41) were conducted by standard ultrasonicationofbiomasswerepouredontorespectivewells microbroth dilution method according to the guidelines of as negative control, and plates were incubated at 37 °C for the Clinical Laboratory Standards Institute(CLSI)using 96- 24h.Theformationofclearzonearoundthewellsistakenas well microtiter plates (Thermo Scientific Varioskan Flash an indication of antibacterial activity.",synergy.text_rules,0.58
roshmi2015.pdf,4318,Au,Escherichia coli,Ampicillin,disc_diffusion,,,6,,6,,text-1,roshmi2015:rule-5,"coli, goldnanoparticlesascrystallineinnature(Fig.4h).TheEDS Shewanella oneidensis, andBacillus subtilis also showed its spectrumofAuNPsshowedstrongsignalsat1.5keV,which nontoxiceffecttowardbacteria[25]. confirmed the presence of elemental gold in the sample Theantibacterialefficacyofbiosynthesizedgoldnanopar- (Fig.4i).",synergy.text_rules,0.58
roshmi2015.pdf,4319,Au,Escherichia coli,Ciprofloxacin,disc_diffusion,,,6,,6,,text-1,roshmi2015:rule-6,"coli, goldnanoparticlesascrystallineinnature(Fig.4h).TheEDS Shewanella oneidensis, andBacillus subtilis also showed its spectrumofAuNPsshowedstrongsignalsat1.5keV,which nontoxiceffecttowardbacteria[25]. confirmed the presence of elemental gold in the sample Theantibacterialefficacyofbiosynthesizedgoldnanopar- (Fig.4i).",synergy.text_rules,0.58
roshmi2015.pdf,4320,Au,Escherichia coli,Gentamicin,disc_diffusion,,,6,,6,,text-1,roshmi2015:rule-7,"coli, goldnanoparticlesascrystallineinnature(Fig.4h).TheEDS Shewanella oneidensis, andBacillus subtilis also showed its spectrumofAuNPsshowedstrongsignalsat1.5keV,which nontoxiceffecttowardbacteria[25]. confirmed the presence of elemental gold in the sample Theantibacterialefficacyofbiosynthesizedgoldnanopar- (Fig.4i).",synergy.text_rules,0.58
roshmi2015.pdf,4321,Au,Escherichia coli,Rifampicin,disc_diffusion,,,6,,6,,text-1,roshmi2015:rule-8,"coli, goldnanoparticlesascrystallineinnature(Fig.4h).TheEDS Shewanella oneidensis, andBacillus subtilis also showed its spectrumofAuNPsshowedstrongsignalsat1.5keV,which nontoxiceffecttowardbacteria[25]. confirmed the presence of elemental gold in the sample Theantibacterialefficacyofbiosynthesizedgoldnanopar- (Fig.4i).",synergy.text_rules,0.58
roshmi2015.pdf,4322,Au,Escherichia coli,Ampicillin,disc_diffusion,,,6,,6,,text-2,roshmi2015:rule-9,confirmed the presence of elemental gold in the sample Theantibacterialefficacyofbiosynthesizedgoldnanopar- (Fig.4i). ticles in combination with various antibiotics was analyzed based ondiskdiffusionmethod.,synergy.text_rules,0.58
roshmi2015.pdf,4323,Au,Escherichia coli,Ciprofloxacin,disc_diffusion,,,6,,6,,text-2,roshmi2015:rule-10,confirmed the presence of elemental gold in the sample Theantibacterialefficacyofbiosynthesizedgoldnanopar- (Fig.4i). ticles in combination with various antibiotics was analyzed based ondiskdiffusionmethod.,synergy.text_rules,0.58
