pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
ruparelia2008.pdf,4333,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,1,,,3,,text-21,ruparelia2008:rule-1,afterwhichtheaveragediameteroftheinhibitionzonesur- rounding the disk was measured with a ruler with up to 3. Results and discussion 1mm resolution.,synergy.text_rules,0.58
ruparelia2008.pdf,4334,Ag,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-1,ruparelia2008:rule-2,"EDSprofileof(a)silverand(b)coppernanoparticlesandquantitativeanalysis. correspond to crystal facets of (111), (200), (220), (311), The antibacterial activity of silver and copper nanopar- (222), (400), (331) and (420) of silver.",synergy.text_rules,0.58
ruparelia2008.pdf,4335,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,4,,text-2,ruparelia2008:rule-3,"correspond to crystal facets of (111), (200), (220), (311), The antibacterial activity of silver and copper nanopar- (222), (400), (331) and (420) of silver. The eight charac- ticles was compared for various microorganisms using the teristic peaks for cuprite appeared in the sample of copper diameterofinhibitionzoneindiskdiffusiontest.Thediam- nanoparticles at 29.6(cid:3), 36.3(cid:3), 42.2(cid:3), 61.3(cid:3), 73.5(cid:3), 77.5(cid:3), eter of inhibition zone (DIZ) reflects magnitude of suscep- 104.1(cid:3), 108.8(cid:3), which correspond to crystal facets of tibility of the microorganism.",synergy.text_rules,0.58
ruparelia2008.pdf,4336,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,4,,text-3,ruparelia2008:rule-4,"for cuprite appeared in the sample of copper diameterofinhibitionzoneindiskdiffusiontest.Thediam- nanoparticles at 29.6(cid:3), 36.3(cid:3), 42.2(cid:3), 61.3(cid:3), 73.5(cid:3), 77.5(cid:3), eter of inhibition zone (DIZ) reflects magnitude of suscep- 104.1(cid:3), 108.8(cid:3), which correspond to crystal facets of tibility of the microorganism. The strains susceptible to (110), (111), (200), (220), (311), (222), (331) and disinfectants exhibit larger DIZ, whereas resistant strains (420).",synergy.text_rules,0.58
ruparelia2008.pdf,4337,Ag,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-4,ruparelia2008:rule-5,"4 and 5a–c). While the DIZ was patternofsilverandcoppernanoparticlesconfirmthepres- affected by the type of microorganisms, it was essentially ence of silver in pure form whereas copper is present as invariantacrossthevariousstrainsofE.coliandS.aureus.",synergy.text_rules,0.58
ruparelia2008.pdf,4338,Ag,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-5,ruparelia2008:rule-6,"While the DIZ was patternofsilverandcoppernanoparticlesconfirmthepres- affected by the type of microorganisms, it was essentially ence of silver in pure form whereas copper is present as invariantacrossthevariousstrainsofE.coliandS.aureus. cuprite.",synergy.text_rules,0.58
ruparelia2008.pdf,4339,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-6,ruparelia2008:rule-7,"HNO indicated boron levels of 0.1% and disks, however the difference in the DIZ was merely 10– 3 0.4%, respectively, in the silver and copper nanoparticles. 15%.Incontrast,forB.subtilis,thedisksimpregnatedwith Thus, the possible presence of other trace level impurities copper nanoparticles showed a significantly larger DIZ, cannot be excluded.",synergy.text_rules,0.58
ruparelia2008.pdf,4340,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-7,ruparelia2008:rule-8,"15%.Incontrast,forB.subtilis,thedisksimpregnatedwith Thus, the possible presence of other trace level impurities copper nanoparticles showed a significantly larger DIZ, cannot be excluded. almost 90% greater compared to that observed with silver TEMimages(Fig.3aandb)confirmthatthemetalpar- nanoparticles.",synergy.text_rules,0.58
ruparelia2008.pdf,4341,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-8,ruparelia2008:rule-9,"almost 90% greater compared to that observed with silver TEMimages(Fig.3aandb)confirmthatthemetalpar- nanoparticles. Since DIZ was measured on agar plates ticlesareinthenanorangeandthattheyareapproximately using a ruler with 1mm resolution, the possibility of mea- sphericalinshape.Subsequentimageanalysisrevealedthat surement errors exist;",synergy.text_rules,0.58
ruparelia2008.pdf,4342,Ag,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-9,ruparelia2008:rule-10,"Since DIZ was measured on agar plates ticlesareinthenanorangeandthattheyareapproximately using a ruler with 1mm resolution, the possibility of mea- sphericalinshape.Subsequentimageanalysisrevealedthat surement errors exist; however, the method illustrates the the silver nanoparticles are relatively smaller (mean±SD: potentialbiocidaleffectofnanoparticlestodifferentmicro- 3.32±1.129nm;",synergy.text_rules,0.58
ruparelia2008.pdf,4343,Ag,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-10,ruparelia2008:rule-11,"however, the method illustrates the the silver nanoparticles are relatively smaller (mean±SD: potentialbiocidaleffectofnanoparticlestodifferentmicro- 3.32±1.129nm; size range: 2.26–10.34nm for a scan of bial strains.",synergy.text_rules,0.58
ruparelia2008.pdf,4344,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-11,ruparelia2008:rule-12,size range: 2.26–10.34nm for a scan of bial strains. n=2582 particles) than the copper nanoparticles The MIC and MBC representing the antimicrobial (9.25±1.79nm;range:6.86–16.53nm;n=683).Consider- activityofnanoparticlesdispersedinbatchculturesissum- able asymmetry was observed in the particle size distribu- marizedinTable1.Representativegrowthprofileofmicro- tion profile.,synergy.text_rules,0.58
ruparelia2008.pdf,4345,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,1,,,4,,text-12,ruparelia2008:rule-13,n=2582 particles) than the copper nanoparticles The MIC and MBC representing the antimicrobial (9.25±1.79nm;range:6.86–16.53nm;n=683).Consider- activityofnanoparticlesdispersedinbatchculturesissum- able asymmetry was observed in the particle size distribu- marizedinTable1.Representativegrowthprofileofmicro- tion profile. bial strains in the presence of varying concentration of,synergy.text_rules,0.58
ruparelia2008.pdf,4346,Ag,Escherichia coli,NOT_DETECTED,disc_diffusion,,6,,,6,,text-1,ruparelia2008:rule-14,"coli between the studies is not feasible. Several studies on anti- strainemployed,variationinthesizeofsilvernanoparticles microbial activity of silver nanoparticles were carried out and initial bacterial concentration, direct comparison with colloidal nanoparticles [2,23,32,33], while dry nano- selcitraP fo .oN a 100 nm 400 300 200 100 0 0 2 4 6 8 10 12 14 16 18 Particle Diameter (nm) selcitraP fo .oN b 100 nm Particle Diameter (nm) Fig.",synergy.text_rules,0.58
ruparelia2008.pdf,4347,Ag,Escherichia coli,NOT_DETECTED,disc_diffusion,,6,,,6,,text-2,ruparelia2008:rule-15,"inthesizeofsilvernanoparticles microbial activity of silver nanoparticles were carried out and initial bacterial concentration, direct comparison with colloidal nanoparticles [2,23,32,33], while dry nano- selcitraP fo .oN a 100 nm 400 300 200 100 0 0 2 4 6 8 10 12 14 16 18 Particle Diameter (nm) selcitraP fo .oN b 100 nm Particle Diameter (nm) Fig. 3.",synergy.text_rules,0.58
