pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
s13204-021-02065-2.pdf,4640,TiO2,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-1,s13204-021-02065-2:rule-1,"Applied Nanoscience Production of titanium dioxide nanoparticles for the antioxidant activity, the standard chemical used is ascorbic acid.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4641,TiO2,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-2,s13204-021-02065-2:rule-2,"Applied Nanoscience Production of titanium dioxide nanoparticles for the antioxidant activity, the standard chemical used is ascorbic acid. The production of TiO NPs was as per the method of San- 2 thoshkumar et al.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4642,TiO2,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-3,s13204-021-02065-2:rule-3,"(2014). In an Erlenmeyer flask containing Hydrogen peroxide scavenging activity 80 mL of TTIP (0.1 M), 20 mL of leaf extract was added and let to react under constant stirring for 24 h.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4643,TiO2,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-4,s13204-021-02065-2:rule-4,"In an Erlenmeyer flask containing Hydrogen peroxide scavenging activity 80 mL of TTIP (0.1 M), 20 mL of leaf extract was added and let to react under constant stirring for 24 h. After the reaction Hydrogen peroxide scavenging activity of the titanium diox- of L.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4644,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-5,s13204-021-02065-2:rule-5,"After the reaction Hydrogen peroxide scavenging activity of the titanium diox- of L. nobilis extract with TTIP, the synthesized nanoparticles ide nanoparticles was determined by monitoring through turned light green in colour.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4645,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-6,s13204-021-02065-2:rule-6,"nobilis extract with TTIP, the synthesized nanoparticles ide nanoparticles was determined by monitoring through turned light green in colour. Finally, the obtained nanoparti- reduction of H O (Ali et al.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4646,TiO2,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-7,s13204-021-02065-2:rule-7,"Typically, in this exper- 2 2 cles were stored at 4 °C for further characterization. iment, 0.4 mL of produced titanium dioxide nanoparticle solution was mixed with 0.6 mL of 40 mM H O solution 2 2 Physicochemical characterization of TiO NPs 2 and the solution was made up to 2 mL with the help of 50 mM sodium phosphate buffer (pH 7.4) and incubated for The synthesised nanoparticles were put through various 40 min at 30 °C.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4647,TiO2,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-8,s13204-021-02065-2:rule-8,"iment, 0.4 mL of produced titanium dioxide nanoparticle solution was mixed with 0.6 mL of 40 mM H O solution 2 2 Physicochemical characterization of TiO NPs 2 and the solution was made up to 2 mL with the help of 50 mM sodium phosphate buffer (pH 7.4) and incubated for The synthesised nanoparticles were put through various 40 min at 30 °C. The absorbance recorded at 230 nm.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4648,TiO2,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-9,s13204-021-02065-2:rule-9,The absorbance recorded at 230 nm. The physicochemical representation techniques.,synergy.text_rules,0.58
s13204-021-02065-2.pdf,4649,nanoparticle,Escherichia coli,NOT_DETECTED,ZOI,,40,,,3,,text-10,s13204-021-02065-2:rule-10,The physicochemical representation techniques. The initial con- inhibition percentage for H O was calculated using formula 2 2 firmation of the successful synthesis of nanoparticles was as mentioned in the DPPH radical scavenging assay.,synergy.text_rules,0.58
s13204-021-02065-2.pdf,4650,nanoparticle,Escherichia coli,NOT_DETECTED,ZOI,,40,,,3,,text-11,s13204-021-02065-2:rule-11,The initial con- inhibition percentage for H O was calculated using formula 2 2 firmation of the successful synthesis of nanoparticles was as mentioned in the DPPH radical scavenging assay. Ascor- done by UV–visible absorption spectra obtained using a bic acid was used as standard.,synergy.text_rules,0.58
s13204-021-02065-2.pdf,4651,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-12,s13204-021-02065-2:rule-12,"UV visible spectrophotometer Varian, Carry 5000). FTIR Antimicrobial activity (Thermo Nicolet, Avatar 370) analysis for the TiO NPs was 2 done in a range of 400–4000 cm−1 to ascertain the func- tional groups present.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4652,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-13,s13204-021-02065-2:rule-13,"FTIR Antimicrobial activity (Thermo Nicolet, Avatar 370) analysis for the TiO NPs was 2 done in a range of 400–4000 cm−1 to ascertain the func- tional groups present. XRD analysis was used to confirm Antimicrobial property for the synthesized titanium diox- the purity and chemical composition of the as-prepared TiO ide nanoparticles was bio assayed with the well diffusion 2 NPs.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4653,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-14,s13204-021-02065-2:rule-14,XRD analysis was used to confirm Antimicrobial property for the synthesized titanium diox- the purity and chemical composition of the as-prepared TiO ide nanoparticles was bio assayed with the well diffusion 2 NPs. XRD analysis was done at an examining rate of 5° method.,synergy.text_rules,0.58
s13204-021-02065-2.pdf,4654,TiO2,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-15,s13204-021-02065-2:rule-15,"Later, sterile discs Ltd., UK. of 6 mm thickness were placed on Petri dishes.",synergy.text_rules,0.58
s13204-021-02065-2.pdf,4655,TiO2,Escherichia coli,NOT_DETECTED,disc_diffusion,,40,,,3,,text-16,s13204-021-02065-2:rule-16,"of 6 mm thickness were placed on Petri dishes. For the test different concentrations of titanium dioxide nanoparticles Antioxidant assays (50, 100 and 200 µg/mL) were impregnated onto each disc.",synergy.text_rules,0.58
