pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
selvaraj2020.pdf,5213,nanoparticle,Escherichia coli,Ceftazidime,MIC,,,,,10,p10_t1,1,selvaraj2020:rule-1,Antimicrobial /Ag NPs | MIC (μg/ml) | | | | | | | | | | | | | |,synergy.table_rules,0.72
selvaraj2020.pdf,5214,nanoparticle,Escherichia coli,Ceftriaxone,MIC,,,,,10,p10_t1,1,selvaraj2020:rule-2,Antimicrobial /Ag NPs | MIC (μg/ml) | | | | | | | | | | | | | |,synergy.table_rules,0.72
selvaraj2020.pdf,5215,nanoparticle,Escherichia coli,Cefepime,MIC,,,,,10,p10_t1,1,selvaraj2020:rule-3,Antimicrobial /Ag NPs | MIC (μg/ml) | | | | | | | | | | | | | |,synergy.table_rules,0.72
selvaraj2020.pdf,5216,nanoparticle,Escherichia coli,Imipenem,MIC,,,,,10,p10_t1,1,selvaraj2020:rule-4,Antimicrobial /Ag NPs | MIC (μg/ml) | | | | | | | | | | | | | |,synergy.table_rules,0.72
selvaraj2020.pdf,5217,nanoparticle,Escherichia coli,Ceftazidime,MIC,,,,,10,p10_t1,2,selvaraj2020:rule-5,| E. coli | | | Klebsiella sp. | | | Pseudomonas aeruginosa | | | Acinetobacter baumanii | | | Proteus sp. | |,synergy.table_rules,0.72
selvaraj2020.pdf,5218,nanoparticle,Escherichia coli,Ceftriaxone,MIC,,,,,10,p10_t1,2,selvaraj2020:rule-6,| E. coli | | | Klebsiella sp. | | | Pseudomonas aeruginosa | | | Acinetobacter baumanii | | | Proteus sp. | |,synergy.table_rules,0.72
selvaraj2020.pdf,5219,nanoparticle,Escherichia coli,Cefepime,MIC,,,,,10,p10_t1,2,selvaraj2020:rule-7,| E. coli | | | Klebsiella sp. | | | Pseudomonas aeruginosa | | | Acinetobacter baumanii | | | Proteus sp. | |,synergy.table_rules,0.72
selvaraj2020.pdf,5220,nanoparticle,Escherichia coli,Imipenem,MIC,,,,,10,p10_t1,2,selvaraj2020:rule-8,| E. coli | | | Klebsiella sp. | | | Pseudomonas aeruginosa | | | Acinetobacter baumanii | | | Proteus sp. | |,synergy.table_rules,0.72
selvaraj2020.pdf,5221,nanoparticle,Escherichia coli,Ceftazidime,MIC,,,,,10,p10_t1,3,selvaraj2020:rule-9,| MIC | MBC | Tolerance ratio | MIC | MBC | Tolerance ratio | MIC | MBC | Tolerance ratio | MIC | MBC | Tolerance ratio | MIC | MBC | Tolerance ratio,synergy.table_rules,0.72
selvaraj2020.pdf,5222,nanoparticle,Escherichia coli,Ceftriaxone,MIC,,,,,10,p10_t1,3,selvaraj2020:rule-10,| MIC | MBC | Tolerance ratio | MIC | MBC | Tolerance ratio | MIC | MBC | Tolerance ratio | MIC | MBC | Tolerance ratio | MIC | MBC | Tolerance ratio,synergy.table_rules,0.72
