pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
shahverdi2007.pdf,5742,nanoparticle,Klebsiella pneumoniae,NOT_DETECTED,disc_diffusion,,,1,,2,,text-1,shahverdi2007:rule-1,"A.R.Shahverdietal./Nanomedicine:Nanotechnology,Biology,andMedicine3(2007)168–171 169 Fig1.Conicalflaskswithsilvernitrate(1mM)before(left)andafter(right) exposure to the culture supernatant of Klebsiella pneumoniae (Enter- obacteriaceae).",synergy.text_rules,0.58
shahverdi2007.pdf,5743,nanoparticle,Klebsiella pneumoniae,NOT_DETECTED,disc_diffusion,,,1,,2,,text-2,shahverdi2007:rule-2,"A.R.Shahverdietal./Nanomedicine:Nanotechnology,Biology,andMedicine3(2007)168–171 169 Fig1.Conicalflaskswithsilvernitrate(1mM)before(left)andafter(right) exposure to the culture supernatant of Klebsiella pneumoniae (Enter- obacteriaceae). thesynthesisofAg-NPs.K.pneumoniae culturesupernatant wasseparatelyaddedtothereactionvesselscontainingsilver nitrate at a concentration of 10–3 M (1% v/v).",synergy.text_rules,0.58
shahverdi2007.pdf,5744,nanoparticle,Klebsiella pneumoniae,NOT_DETECTED,disc_diffusion,,,1,,2,,text-3,shahverdi2007:rule-3,The reaction between this supernatant and Ag+ ions was carried out in brightconditionsfor5minutes.ThebioreductionoftheAg+ ionsinthesolutionwasmonitoredbysamplingtheaqueous Fig 2. Ultraviolet-visible spectra recorded after the addition of culture component(2mL)andmeasuringtheultraviolet-visible(UV- supernatant of Klebsiella pneumoniae (1 mL) to 1 mM silver nitrate vis)spectrumofthesolution.UV-visspectraofthesesamples solution(100mL).Thecurvesarerecordedafteraperiodof5minutes.The were monitored on a Cecil model 9200 UV-vis spectropho- teststrainwascultivatedinMuller-Hintonbrothandwasincubatedat358C for 24 hours.,synergy.text_rules,0.58
shahverdi2007.pdf,5745,nanoparticle,Klebsiella pneumoniae,NOT_DETECTED,disc_diffusion,,,1,,2,,text-4,shahverdi2007:rule-4,"uringtheultraviolet-visible(UV- supernatant of Klebsiella pneumoniae (1 mL) to 1 mM silver nitrate vis)spectrumofthesolution.UV-visspectraofthesesamples solution(100mL).Thecurvesarerecordedafteraperiodof5minutes.The were monitored on a Cecil model 9200 UV-vis spectropho- teststrainwascultivatedinMuller-Hintonbrothandwasincubatedat358C for 24 hours. After the incubation period, the culture was centrifuged at tometer, operated at a resolution of 1 nm.",synergy.text_rules,0.58
shahverdi2007.pdf,5746,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-5,shahverdi2007:rule-5,"After the incubation period, the culture was centrifuged at tometer, operated at a resolution of 1 nm. Furthermore, the 12,000 rpm, and its supernatants were used to reduce the silver nitrate Ag-NPswerecharacterizedbytransmissionelectronmicros- solution.",synergy.text_rules,0.58
shahverdi2007.pdf,5747,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-6,shahverdi2007:rule-6,"Furthermore, the 12,000 rpm, and its supernatants were used to reduce the silver nitrate Ag-NPswerecharacterizedbytransmissionelectronmicros- solution. copy(modelEM208Philips,Eindhoven,TheNetherlands) andenergy-dispersivespectroscopy.",synergy.text_rules,0.58
shahverdi2007.pdf,5748,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-7,shahverdi2007:rule-7,"copy(modelEM208Philips,Eindhoven,TheNetherlands) andenergy-dispersivespectroscopy. yellowish brown color in the reaction vessels suggested Disk diffusion assay to evaluate combined effects the formation of Ag-NPs [10].",synergy.text_rules,0.58
shahverdi2007.pdf,5749,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-8,shahverdi2007:rule-8,yellowish brown color in the reaction vessels suggested Disk diffusion assay to evaluate combined effects the formation of Ag-NPs [10]. The supernatant of the A disk diffusion method was used to assay the various K.,synergy.text_rules,0.58
shahverdi2007.pdf,5750,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-9,shahverdi2007:rule-9,"As was further impregnated with 10 AL of the freshly illustrated in Uv-vis spectra, a strong surface plasmon prepared Ag-NPs at a final content of 10 Ag/disk. A resonancewascenteredatapproximately430nm(Figure2).",synergy.text_rules,0.58
shahverdi2007.pdf,5751,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-10,shahverdi2007:rule-10,"A resonancewascenteredatapproximately430nm(Figure2). single colony of each test strain was grown overnight in Observation of this strong but broad surface plasmon peak Mqller-Hinton liquid medium on a rotary shaker (200 rpm) has been well documented for various Me-NPs, with sizes at 358C.",synergy.text_rules,0.58
shahverdi2007.pdf,5752,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-11,shahverdi2007:rule-11,"single colony of each test strain was grown overnight in Observation of this strong but broad surface plasmon peak Mqller-Hinton liquid medium on a rotary shaker (200 rpm) has been well documented for various Me-NPs, with sizes at 358C. The inocula were prepared by diluting the ranging all the way from 2 to 100 nm [11-13].",synergy.text_rules,0.58
shahverdi2007.pdf,5753,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-12,shahverdi2007:rule-12,The inocula were prepared by diluting the ranging all the way from 2 to 100 nm [11-13]. Figure 3 overnight cultures with 0.9% NaCl to a 0.5 McFarland showsarepresentativeSEMimagerecordedfromthedrop- standard and were applied to the plates along with the coatedfilmoftheAg-NPsthatweresynthesizedbytreating standard and prepared disks containing differing amounts the silver nitrate solution with culture supernatant of K.,synergy.text_rules,0.58
shahverdi2007.pdf,5754,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-13,shahverdi2007:rule-13,Similar (right-hand illustration in Figure 3) show that the particles experiments were carried out with Ag-NPs alone. After range in size from 5 to 32 nm and possess an average size incubation at 358C for 18 hours the zones of inhibition of 22.5 nm.,synergy.text_rules,0.58
shahverdi2007.pdf,5755,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,1,,2,,text-14,shahverdi2007:rule-14,After range in size from 5 to 32 nm and possess an average size incubation at 358C for 18 hours the zones of inhibition of 22.5 nm. were measured.,synergy.text_rules,0.58
