pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
sharma2016.pdf,6010,ZnO,Escherichia coli,Ampicillin,FIC,,,,1,3,,text-1,sharma2016:rule-1,"SYNErGISTIC ACTIvITY AND NANOPArTICLES 1691 Nanoparticles: Pure and doped ZnO nanoparticles calculated as: (MIC of drug A or B in combination) (10% Fe, 10% Mn, 10% Cu, 10% Co, 1% Fe, 1% / (MIC of drug A or B alone), and the FIC index Mn, 1% Cu and 1% Co) with an average size of was obtained by adding the FIC values.",synergy.text_rules,0.58
sharma2016.pdf,6011,ZnO,Escherichia coli,Ciprofloxacin,FIC,,,,1,3,,text-1,sharma2016:rule-2,"SYNErGISTIC ACTIvITY AND NANOPArTICLES 1691 Nanoparticles: Pure and doped ZnO nanoparticles calculated as: (MIC of drug A or B in combination) (10% Fe, 10% Mn, 10% Cu, 10% Co, 1% Fe, 1% / (MIC of drug A or B alone), and the FIC index Mn, 1% Cu and 1% Co) with an average size of was obtained by adding the FIC values.",synergy.text_rules,0.58
sharma2016.pdf,6012,ZnO,Escherichia coli,Ampicillin,FIC,,,,1,3,,text-2,sharma2016:rule-3,"SYNErGISTIC ACTIvITY AND NANOPArTICLES 1691 Nanoparticles: Pure and doped ZnO nanoparticles calculated as: (MIC of drug A or B in combination) (10% Fe, 10% Mn, 10% Cu, 10% Co, 1% Fe, 1% / (MIC of drug A or B alone), and the FIC index Mn, 1% Cu and 1% Co) with an average size of was obtained by adding the FIC values. FIC values 20 nm were obtained from Department of Physics, were interpreted as synergistic if values were ≤ Chitkara University, Chandigarh [characterized 0.5, additive or indifferent to values >0.5 to 4.0 by Scanning Electron Microscopy (SEM), and antagonistic for values >4.0 (Braga et al.",synergy.text_rules,0.58
sharma2016.pdf,6013,ZnO,Escherichia coli,Ciprofloxacin,FIC,,,,1,3,,text-2,sharma2016:rule-4,"SYNErGISTIC ACTIvITY AND NANOPArTICLES 1691 Nanoparticles: Pure and doped ZnO nanoparticles calculated as: (MIC of drug A or B in combination) (10% Fe, 10% Mn, 10% Cu, 10% Co, 1% Fe, 1% / (MIC of drug A or B alone), and the FIC index Mn, 1% Cu and 1% Co) with an average size of was obtained by adding the FIC values. FIC values 20 nm were obtained from Department of Physics, were interpreted as synergistic if values were ≤ Chitkara University, Chandigarh [characterized 0.5, additive or indifferent to values >0.5 to 4.0 by Scanning Electron Microscopy (SEM), and antagonistic for values >4.0 (Braga et al.",synergy.text_rules,0.58
sharma2016.pdf,6014,ZnO,Escherichia coli,Ampicillin,FIC,,,,20,3,,text-3,sharma2016:rule-5,"FIC values 20 nm were obtained from Department of Physics, were interpreted as synergistic if values were ≤ Chitkara University, Chandigarh [characterized 0.5, additive or indifferent to values >0.5 to 4.0 by Scanning Electron Microscopy (SEM), and antagonistic for values >4.0 (Braga et al. 2005, Transmission Electron Microscopy (TEM), X-ray Odds 2003).",synergy.text_rules,0.58
sharma2016.pdf,6015,ZnO,Escherichia coli,Ciprofloxacin,FIC,,,,20,3,,text-3,sharma2016:rule-6,"FIC values 20 nm were obtained from Department of Physics, were interpreted as synergistic if values were ≤ Chitkara University, Chandigarh [characterized 0.5, additive or indifferent to values >0.5 to 4.0 by Scanning Electron Microscopy (SEM), and antagonistic for values >4.0 (Braga et al. 2005, Transmission Electron Microscopy (TEM), X-ray Odds 2003).",synergy.text_rules,0.58
sharma2016.pdf,6016,ZnO,Escherichia coli,Ampicillin,FIC,,,,1,3,,text-4,sharma2016:rule-7,"2005, Transmission Electron Microscopy (TEM), X-ray Odds 2003). Diffraction (XrD) and Ultra violet- visible (Uv- vis) Spectroscopy].",synergy.text_rules,0.58
sharma2016.pdf,6017,ZnO,Escherichia coli,Ciprofloxacin,FIC,,,,1,3,,text-4,sharma2016:rule-8,"2005, Transmission Electron Microscopy (TEM), X-ray Odds 2003). Diffraction (XrD) and Ultra violet- visible (Uv- vis) Spectroscopy].",synergy.text_rules,0.58
sharma2016.pdf,6018,nanoparticle,Escherichia coli,Ampicillin,MIC,,,,1,3,,text-5,sharma2016:rule-9,Diffraction (XrD) and Ultra violet- visible (Uv- vis) Spectroscopy]. reSuLtS Nanoparticles stock preparation: A stock suspension Minimum Inhibitory Concentration (MIC) (Table was prepared by suspending the nanoparticles I): in methanol to yield a final concentration of 100 Minimum Inhibitory Concentration range mg/ml.,synergy.text_rules,0.58
sharma2016.pdf,6019,nanoparticle,Escherichia coli,Ciprofloxacin,MIC,,,,1,3,,text-5,sharma2016:rule-10,Diffraction (XrD) and Ultra violet- visible (Uv- vis) Spectroscopy]. reSuLtS Nanoparticles stock preparation: A stock suspension Minimum Inhibitory Concentration (MIC) (Table was prepared by suspending the nanoparticles I): in methanol to yield a final concentration of 100 Minimum Inhibitory Concentration range mg/ml.,synergy.text_rules,0.58
