pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
singh2018.pdf,6120,nanoparticle,Acinetobacter baumannii,Amoxicillin,FIC,,,,2.1,2,,text-1,singh2018:rule-1,"Singh etal. Antibacterial Activitiesof BacteriagenicSilver Nanoparticles AgainstNosocomial Acinetobacter baumannii Nanoparticles have gained significant importance in by broth micro-dilution method using 96-well microtitre a decade and have been applied in various fields of plates as per the CLSI standard guidelines.44 Two-fold medicine, therapeutics and diagnosis.22–27 Metal nanopar- serialdilutionsof AgNPsandantibioticsweremadeusing ticles possess high specificity, selectivity and sensitivity Mueller Hinton (MH) broth (HiMedia).",synergy.text_rules,0.58
singh2018.pdf,6121,nanoparticle,Acinetobacter baumannii,Ampicillin,FIC,,,,2.1,2,,text-1,singh2018:rule-2,"Singh etal. Antibacterial Activitiesof BacteriagenicSilver Nanoparticles AgainstNosocomial Acinetobacter baumannii Nanoparticles have gained significant importance in by broth micro-dilution method using 96-well microtitre a decade and have been applied in various fields of plates as per the CLSI standard guidelines.44 Two-fold medicine, therapeutics and diagnosis.22–27 Metal nanopar- serialdilutionsof AgNPsandantibioticsweremadeusing ticles possess high specificity, selectivity and sensitivity Mueller Hinton (MH) broth (HiMedia).",synergy.text_rules,0.58
singh2018.pdf,6122,nanoparticle,Acinetobacter baumannii,Doxycycline,FIC,,,,2.1,2,,text-1,singh2018:rule-3,"Singh etal. Antibacterial Activitiesof BacteriagenicSilver Nanoparticles AgainstNosocomial Acinetobacter baumannii Nanoparticles have gained significant importance in by broth micro-dilution method using 96-well microtitre a decade and have been applied in various fields of plates as per the CLSI standard guidelines.44 Two-fold medicine, therapeutics and diagnosis.22–27 Metal nanopar- serialdilutionsof AgNPsandantibioticsweremadeusing ticles possess high specificity, selectivity and sensitivity Mueller Hinton (MH) broth (HiMedia).",synergy.text_rules,0.58
singh2018.pdf,6123,nanoparticle,Acinetobacter baumannii,Erythromycin,FIC,,,,2.1,2,,text-1,singh2018:rule-4,"Singh etal. Antibacterial Activitiesof BacteriagenicSilver Nanoparticles AgainstNosocomial Acinetobacter baumannii Nanoparticles have gained significant importance in by broth micro-dilution method using 96-well microtitre a decade and have been applied in various fields of plates as per the CLSI standard guidelines.44 Two-fold medicine, therapeutics and diagnosis.22–27 Metal nanopar- serialdilutionsof AgNPsandantibioticsweremadeusing ticles possess high specificity, selectivity and sensitivity Mueller Hinton (MH) broth (HiMedia).",synergy.text_rules,0.58
singh2018.pdf,6124,Ag,Acinetobacter baumannii,Amoxicillin,FIC,,,,2.1,2,,text-2,singh2018:rule-5,"tion method using 96-well microtitre a decade and have been applied in various fields of plates as per the CLSI standard guidelines.44 Two-fold medicine, therapeutics and diagnosis.22–27 Metal nanopar- serialdilutionsof AgNPsandantibioticsweremadeusing ticles possess high specificity, selectivity and sensitivity Mueller Hinton (MH) broth (HiMedia). To each well, due to large surfacearea to volumeratio, and haveunique 5 (cid:3)l inoculum (∼5×105 CFU/ml) was added.",synergy.text_rules,0.58
singh2018.pdf,6125,Ag,Acinetobacter baumannii,Ampicillin,FIC,,,,2.1,2,,text-2,singh2018:rule-6,"tion method using 96-well microtitre a decade and have been applied in various fields of plates as per the CLSI standard guidelines.44 Two-fold medicine, therapeutics and diagnosis.22–27 Metal nanopar- serialdilutionsof AgNPsandantibioticsweremadeusing ticles possess high specificity, selectivity and sensitivity Mueller Hinton (MH) broth (HiMedia). To each well, due to large surfacearea to volumeratio, and haveunique 5 (cid:3)l inoculum (∼5×105 CFU/ml) was added.",synergy.text_rules,0.58
singh2018.pdf,6126,Ag,Acinetobacter baumannii,Doxycycline,FIC,,,,2.1,2,,text-2,singh2018:rule-7,"tion method using 96-well microtitre a decade and have been applied in various fields of plates as per the CLSI standard guidelines.44 Two-fold medicine, therapeutics and diagnosis.22–27 Metal nanopar- serialdilutionsof AgNPsandantibioticsweremadeusing ticles possess high specificity, selectivity and sensitivity Mueller Hinton (MH) broth (HiMedia). To each well, due to large surfacearea to volumeratio, and haveunique 5 (cid:3)l inoculum (∼5×105 CFU/ml) was added.",synergy.text_rules,0.58
singh2018.pdf,6127,Ag,Acinetobacter baumannii,Erythromycin,FIC,,,,2.1,2,,text-2,singh2018:rule-8,"tion method using 96-well microtitre a decade and have been applied in various fields of plates as per the CLSI standard guidelines.44 Two-fold medicine, therapeutics and diagnosis.22–27 Metal nanopar- serialdilutionsof AgNPsandantibioticsweremadeusing ticles possess high specificity, selectivity and sensitivity Mueller Hinton (MH) broth (HiMedia). To each well, due to large surfacearea to volumeratio, and haveunique 5 (cid:3)l inoculum (∼5×105 CFU/ml) was added.",synergy.text_rules,0.58
singh2018.pdf,6128,Ag,Acinetobacter baumannii,Amoxicillin,FIC,,,,2.1,2,,text-3,singh2018:rule-9,"To each well, due to large surfacearea to volumeratio, and haveunique 5 (cid:3)l inoculum (∼5×105 CFU/ml) was added. Each plate physical,chemical,mechanical,optical,electrical,thermal, includedgrowth and sterility controlwells.",synergy.text_rules,0.58
singh2018.pdf,6129,Ag,Acinetobacter baumannii,Ampicillin,FIC,,,,2.1,2,,text-3,singh2018:rule-10,"To each well, due to large surfacearea to volumeratio, and haveunique 5 (cid:3)l inoculum (∼5×105 CFU/ml) was added. Each plate physical,chemical,mechanical,optical,electrical,thermal, includedgrowth and sterility controlwells.",synergy.text_rules,0.58
singh2018.pdf,6130,Ag,Acinetobacter baumannii,Doxycycline,FIC,,,,2.1,2,,text-3,singh2018:rule-11,"To each well, due to large surfacearea to volumeratio, and haveunique 5 (cid:3)l inoculum (∼5×105 CFU/ml) was added. Each plate physical,chemical,mechanical,optical,electrical,thermal, includedgrowth and sterility controlwells.",synergy.text_rules,0.58
singh2018.pdf,6131,Ag,Acinetobacter baumannii,Erythromycin,FIC,,,,2.1,2,,text-3,singh2018:rule-12,"To each well, due to large surfacearea to volumeratio, and haveunique 5 (cid:3)l inoculum (∼5×105 CFU/ml) was added. Each plate physical,chemical,mechanical,optical,electrical,thermal, includedgrowth and sterility controlwells.",synergy.text_rules,0.58
