pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
thirumurugan2012.pdf,6451,Au,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-1,thirumurugan2012:rule-1,1762 A. Thirumurugan et al.,synergy.text_rules,0.58
thirumurugan2012.pdf,6452,Au,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-2,thirumurugan2012:rule-2,"Thirumurugan et al. ticles very few studies have been conducted, and it also has been was placed and on the other half, the antibiotic disk that was impreg- reported as non-toxic compared to other metallic nanoparticles such nated with gold nanoparticle solution was placed.",synergy.text_rules,0.58
thirumurugan2012.pdf,6453,Au,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-3,thirumurugan2012:rule-3,"Therefore, in the present The above-mentioned procedure was repeated with the remain- study Bacillus subtilis was used, as it is easily isolatable and available ing antibiotic disks for Shigella sonnie. The Petri plates were incu- in all the microbiology laboratories.",synergy.text_rules,0.58
thirumurugan2012.pdf,6454,Au,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-4,thirumurugan2012:rule-4,The Petri plates were incu- in all the microbiology laboratories. Supernatant of the organism was bated at room temperature.,synergy.text_rules,0.58
thirumurugan2012.pdf,6455,Au,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-5,thirumurugan2012:rule-5,"Supernatant of the organism was bated at room temperature. After incubation at 35oC for 24hours, used as reducing agent to produce gold nanoparticles, and these nano- various zones of inhibition were measured.",synergy.text_rules,0.58
thirumurugan2012.pdf,6456,Au,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-6,thirumurugan2012:rule-6,"After incubation at 35oC for 24hours, used as reducing agent to produce gold nanoparticles, and these nano- various zones of inhibition were measured. The resulting zones of particles were confirmed by color changes and characterized by inhibition will be uniformly circular.",synergy.text_rules,0.58
thirumurugan2012.pdf,6457,Au,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-7,thirumurugan2012:rule-7,The resulting zones of particles were confirmed by color changes and characterized by inhibition will be uniformly circular. The diameter of the zones of UV-Visible spectroscopy.,synergy.text_rules,0.58
thirumurugan2012.pdf,6458,nanoparticle,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-8,thirumurugan2012:rule-8,"The diameter of the zones of UV-Visible spectroscopy. Also, the synthesized nanoparticles were complete inhibition was measured, including the diameter of the used for the evaluation of increased antifungal and antibacterial activ- disk.",synergy.text_rules,0.58
thirumurugan2012.pdf,6459,nanoparticle,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-9,thirumurugan2012:rule-9,"Also, the synthesized nanoparticles were complete inhibition was measured, including the diameter of the used for the evaluation of increased antifungal and antibacterial activ- disk. The zones were measured to the nearest whole diameter with ity of different antibiotics against clinically isolated organism.",synergy.text_rules,0.58
thirumurugan2012.pdf,6460,Au,Bacillus subtilis,Gentamicin,disc_diffusion,,,1,,2,,text-10,thirumurugan2012:rule-10,The zones were measured to the nearest whole diameter with ity of different antibiotics against clinically isolated organism. a ruler.,synergy.text_rules,0.58
