pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
thomas2014.pdf,6480,Ag,Staphylococcus aureus,Chloramphenicol,disc_diffusion,,,6,,4,,text-1,thomas2014:rule-1,"ApplBiochemBiotechnol periods. The resulting solution was filtered through a 0.22 μm filter (Millipore) to remove cell debris, and these purified AgNPs were used for further characterization [16, 17].",synergy.text_rules,0.58
thomas2014.pdf,6481,Ag,Staphylococcus aureus,Ciprofloxacin,disc_diffusion,,,6,,4,,text-1,thomas2014:rule-2,"ApplBiochemBiotechnol periods. The resulting solution was filtered through a 0.22 μm filter (Millipore) to remove cell debris, and these purified AgNPs were used for further characterization [16, 17].",synergy.text_rules,0.58
thomas2014.pdf,6482,Ag,Staphylococcus aureus,Erythromycin,disc_diffusion,,,6,,4,,text-1,thomas2014:rule-3,"ApplBiochemBiotechnol periods. The resulting solution was filtered through a 0.22 μm filter (Millipore) to remove cell debris, and these purified AgNPs were used for further characterization [16, 17].",synergy.text_rules,0.58
thomas2014.pdf,6483,Ag,Staphylococcus aureus,Gentamicin,disc_diffusion,,,6,,4,,text-1,thomas2014:rule-4,"ApplBiochemBiotechnol periods. The resulting solution was filtered through a 0.22 μm filter (Millipore) to remove cell debris, and these purified AgNPs were used for further characterization [16, 17].",synergy.text_rules,0.58
thomas2014.pdf,6484,Ag,Staphylococcus aureus,Chloramphenicol,disc_diffusion,,,6,,4,,text-2,thomas2014:rule-5,"The resulting solution was filtered through a 0.22 μm filter (Millipore) to remove cell debris, and these purified AgNPs were used for further characterization [16, 17]. CharacterizationofSilverNanoparticles ThebiosynthesisofAgNPswasprimarilyobservedbythecolorchangeofthebiomassfrom paleyellowtobrowninthepresenceof1mMAgNO .FurthercharacterizationofAgNPswas 3 carried out by scanning the UV–visible spectrum of the sample using Hitachi U5100 in the rangeof200–800nmataresolutionof1nm.ThepossiblebiomoleculesthatstabilizeAgNPs were identified by Fourier transform infrared spectrophotometry (FTIR) at a resolution of 4cm −1intherangeof4,000–450cm −1(PerkinElmer,Spectrum400FTIRspectroscopy).The size and morphology of the AgNPs were characterized by scanning electron microscopy (SEM).",synergy.text_rules,0.58
thomas2014.pdf,6485,Ag,Staphylococcus aureus,Ciprofloxacin,disc_diffusion,,,6,,4,,text-2,thomas2014:rule-6,"The resulting solution was filtered through a 0.22 μm filter (Millipore) to remove cell debris, and these purified AgNPs were used for further characterization [16, 17]. CharacterizationofSilverNanoparticles ThebiosynthesisofAgNPswasprimarilyobservedbythecolorchangeofthebiomassfrom paleyellowtobrowninthepresenceof1mMAgNO .FurthercharacterizationofAgNPswas 3 carried out by scanning the UV–visible spectrum of the sample using Hitachi U5100 in the rangeof200–800nmataresolutionof1nm.ThepossiblebiomoleculesthatstabilizeAgNPs were identified by Fourier transform infrared spectrophotometry (FTIR) at a resolution of 4cm −1intherangeof4,000–450cm −1(PerkinElmer,Spectrum400FTIRspectroscopy).The size and morphology of the AgNPs were characterized by scanning electron microscopy (SEM).",synergy.text_rules,0.58
thomas2014.pdf,6486,Ag,Staphylococcus aureus,Erythromycin,disc_diffusion,,,6,,4,,text-2,thomas2014:rule-7,"The resulting solution was filtered through a 0.22 μm filter (Millipore) to remove cell debris, and these purified AgNPs were used for further characterization [16, 17]. CharacterizationofSilverNanoparticles ThebiosynthesisofAgNPswasprimarilyobservedbythecolorchangeofthebiomassfrom paleyellowtobrowninthepresenceof1mMAgNO .FurthercharacterizationofAgNPswas 3 carried out by scanning the UV–visible spectrum of the sample using Hitachi U5100 in the rangeof200–800nmataresolutionof1nm.ThepossiblebiomoleculesthatstabilizeAgNPs were identified by Fourier transform infrared spectrophotometry (FTIR) at a resolution of 4cm −1intherangeof4,000–450cm −1(PerkinElmer,Spectrum400FTIRspectroscopy).The size and morphology of the AgNPs were characterized by scanning electron microscopy (SEM).",synergy.text_rules,0.58
thomas2014.pdf,6487,Ag,Staphylococcus aureus,Gentamicin,disc_diffusion,,,6,,4,,text-2,thomas2014:rule-8,"The resulting solution was filtered through a 0.22 μm filter (Millipore) to remove cell debris, and these purified AgNPs were used for further characterization [16, 17]. CharacterizationofSilverNanoparticles ThebiosynthesisofAgNPswasprimarilyobservedbythecolorchangeofthebiomassfrom paleyellowtobrowninthepresenceof1mMAgNO .FurthercharacterizationofAgNPswas 3 carried out by scanning the UV–visible spectrum of the sample using Hitachi U5100 in the rangeof200–800nmataresolutionof1nm.ThepossiblebiomoleculesthatstabilizeAgNPs were identified by Fourier transform infrared spectrophotometry (FTIR) at a resolution of 4cm −1intherangeof4,000–450cm −1(PerkinElmer,Spectrum400FTIRspectroscopy).The size and morphology of the AgNPs were characterized by scanning electron microscopy (SEM).",synergy.text_rules,0.58
thomas2014.pdf,6488,Ag,Staphylococcus aureus,Chloramphenicol,disc_diffusion,,,6,,4,,text-3,thomas2014:rule-9,"i U5100 in the rangeof200–800nmataresolutionof1nm.ThepossiblebiomoleculesthatstabilizeAgNPs were identified by Fourier transform infrared spectrophotometry (FTIR) at a resolution of 4cm −1intherangeof4,000–450cm −1(PerkinElmer,Spectrum400FTIRspectroscopy).The size and morphology of the AgNPs were characterized by scanning electron microscopy (SEM). For SEM analysis, air-dried samples were mounted on specimen stubs with double adhesivetape,coatedwithplatinuminasputtercoater,andexaminedunderJEOL6390SEM JSMat10kV.Also,thepresenceofelementalsilverinthesamplewasconfirmedbyenergy- dispersivespectroscopy(EDS)combinedwithSEM.",synergy.text_rules,0.58
thomas2014.pdf,6489,Ag,Staphylococcus aureus,Ciprofloxacin,disc_diffusion,,,6,,4,,text-3,thomas2014:rule-10,"i U5100 in the rangeof200–800nmataresolutionof1nm.ThepossiblebiomoleculesthatstabilizeAgNPs were identified by Fourier transform infrared spectrophotometry (FTIR) at a resolution of 4cm −1intherangeof4,000–450cm −1(PerkinElmer,Spectrum400FTIRspectroscopy).The size and morphology of the AgNPs were characterized by scanning electron microscopy (SEM). For SEM analysis, air-dried samples were mounted on specimen stubs with double adhesivetape,coatedwithplatinuminasputtercoater,andexaminedunderJEOL6390SEM JSMat10kV.Also,thepresenceofelementalsilverinthesamplewasconfirmedbyenergy- dispersivespectroscopy(EDS)combinedwithSEM.",synergy.text_rules,0.58
