pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
yoonus2021.pdf,6567,Fe2O3,Escherichia coli,Streptomycin,viability (%),,,,,2,,text-1,yoonus2021:rule-1,"The optical properties of the sample were evaluated thevariousnanometaloxides,ironoxidenanoparticleshavebeen usingUVVisiblespectrophotometerofmakeVarianCary500. found to be promising due to their wide range of application as antioxidant, antibiofilm, antibacterial, and anticancer agents [14- 2.4.Antibacterialactivity 18].",synergy.text_rules,0.58
yoonus2021.pdf,6568,Fe2O3,Escherichia coli,Streptomycin,viability (%),,,,,2,,text-2,yoonus2021:rule-2,"found to be promising due to their wide range of application as antioxidant, antibiofilm, antibacterial, and anticancer agents [14- 2.4.Antibacterialactivity 18]. In this background, the present study aims to evaluate the antibacterialandanticanceractivityofhematitenanoparticlessyn- Antibacterial activity of the synthesized iron oxide nanoparti- thesized via green method.",synergy.text_rules,0.58
yoonus2021.pdf,6569,Fe2O3,Escherichia coli,Streptomycin,viability (%),,,,,2,,text-3,yoonus2021:rule-3,"In this background, the present study aims to evaluate the antibacterialandanticanceractivityofhematitenanoparticlessyn- Antibacterial activity of the synthesized iron oxide nanoparti- thesized via green method. The anti cancer activity of hematite cles was assessed using agar well diffusion method.",synergy.text_rules,0.58
yoonus2021.pdf,6570,Fe2O3,Escherichia coli,Streptomycin,disc_diffusion,,10,,,2,,text-4,yoonus2021:rule-4,"890]andStaphylococcusaureus[ATCC25923](grampositivebacte- ria) were seeded on petriplates containing Muller Hinton Agar 2.Materialsandmethods Medium(growthofcultureadjustedaccordingtoMcFarlandStan- dard, 0.5%). Agar surface was bored using a well cutter to make 2.1.Materials wellsofapproximately10mm diameterand different concentra- tions of sample such as 250mg/mL, 500mg/mL and 1000mg/mL Theonlychemicalusedforthesynthesisofhematitenanopar- wereadded.Theplateswerethenincubatedat37(cid:3)Cfor24hand ticleswasanhydrousferricchloride[FeCl ]ofanalyticalgrade.Bac- wereexaminedforantibacterialactivitybymeasuringthediame- 3 terial culture media were purchased from HiMedia (Mumbai, teroftheinhibitionzone(expressedinmillimeter)formedaround India).",synergy.text_rules,0.58
yoonus2021.pdf,6571,Fe2O3,Escherichia coli,Streptomycin,disc_diffusion,,,,,2,,text-5,yoonus2021:rule-5,"lychemicalusedforthesynthesisofhematitenanopar- wereadded.Theplateswerethenincubatedat37(cid:3)Cfor24hand ticleswasanhydrousferricchloride[FeCl ]ofanalyticalgrade.Bac- wereexaminedforantibacterialactivitybymeasuringthediame- 3 terial culture media were purchased from HiMedia (Mumbai, teroftheinhibitionzone(expressedinmillimeter)formedaround India). Dimethyl sulphoxide (DMSO), antibiotic solution and Dul- thewell.Streptomycinwasusedasthepositivecontrol.",synergy.text_rules,0.58
yoonus2021.pdf,6572,Fe2O3,Escherichia coli,Streptomycin,viability (%),,,,,2,,text-6,yoonus2021:rule-6,"becco’s Modified Eagle’s Medium (DMEM) were purchased from Sigmaaldrich,USA.FetalBovineSerumwasobtainedfromGibco, 2.5.Anticanceractivity US orgin and Trypsin from Invitrogen, USA 25200-056. MTT was purchasedfromSigmaAldrichM(cid:1)5655.Cultureplatesandflasks A549(lungcancer)cellswereusedtodeterminethecellviabil- wereobtainedfromNunc,ThermoscientificUSA.A549(LungCan- ityagainsttheexposureofhematitenanoparticles.Thecellswere cer) cells were procured from National Centre for Cell Sciences maintainedinDulbecco’smodifiedEaglesmedium,DMEM.Thecell (NCCS),Pune,India.",synergy.text_rules,0.58
yoonus2021.pdf,6573,Fe2O3,Escherichia coli,Streptomycin,viability (%),,,,,2,,text-7,yoonus2021:rule-7,"aAldrichM(cid:1)5655.Cultureplatesandflasks A549(lungcancer)cellswereusedtodeterminethecellviabil- wereobtainedfromNunc,ThermoscientificUSA.A549(LungCan- ityagainsttheexposureofhematitenanoparticles.Thecellswere cer) cells were procured from National Centre for Cell Sciences maintainedinDulbecco’smodifiedEaglesmedium,DMEM.Thecell (NCCS),Pune,India. lines were cultured with DMEM supplemented with 10% fetal bovineserum(FBS),sodiumbicarbonate,L-glutamine,andantibi- 2.2.Greensynthesisofhematitenanoparticles otic solution containing: Streptomycin (100mg/mL), Penicillin (100 U/mL), and Amphoteracin B (2.5mg/mL).",synergy.text_rules,0.58
yoonus2021.pdf,6574,Fe2O3,Escherichia coli,Streptomycin,viability (%),,,,,2,,text-8,yoonus2021:rule-8,"lines were cultured with DMEM supplemented with 10% fetal bovineserum(FBS),sodiumbicarbonate,L-glutamine,andantibi- 2.2.Greensynthesisofhematitenanoparticles otic solution containing: Streptomycin (100mg/mL), Penicillin (100 U/mL), and Amphoteracin B (2.5mg/mL). The cultured cell Piperbetelleafextractwaspreparedwithslightmodifications lineswerekeptat37(cid:3)Cinahumidified5%CO 2 incubator.Briefly, to the method suggested in the previous report [10].",synergy.text_rules,0.58
yoonus2021.pdf,6575,Fe2O3,Escherichia coli,Streptomycin,viability (%),,,,,2,,text-9,yoonus2021:rule-9,"The cultured cell Piperbetelleafextractwaspreparedwithslightmodifications lineswerekeptat37(cid:3)Cinahumidified5%CO 2 incubator.Briefly, to the method suggested in the previous report [10]. Piper betel 5000 A549 cells per well were seeded in 96 well plate and incu- leaves were collected, washed several times with pure water to batedat37(cid:3)Cfor48hinahumidified5%CO 2 incubator.",synergy.text_rules,0.58
yoonus2021.pdf,6576,Fe2O3,Escherichia coli,Streptomycin,viability (%),,,,,2,,text-10,yoonus2021:rule-10,"remove dust particles, dried in shade and then pulverised. Afterseeding,themonolayerofthecellsintheplatewastrea- 110mL of distilled water was added to 10g of powdered leaves ted with different concentrations (6.25, 12.5, 25, 50 and 100mg/ andheatedinamicrowaveovenat100Wfor30min.Themixture mL) of hematite nanoparticles and the plate was incubated for was filtered using a Whatman 1 filter paper and the filtrate was 24hat37(cid:3)CinCO 2 incubator.Nontreatedcontrolcellswerealso collected.Thisfreshlypreparedleafextractwasthenusedforthe maintained.",synergy.text_rules,0.58
