pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
zhao2013.pdf,6594,nanoparticle,Escherichia coli,Colistin,MIC,,,128,,2,,text-1,zhao2013:rule-1,"JournaloftheAmericanChemicalSociety Communication lactamase (ESBL) resistance genes, Figure S4), and K.",synergy.text_rules,0.58
zhao2013.pdf,6595,nanoparticle,Escherichia coli,Gentamicin,MIC,,,128,,2,,text-1,zhao2013:rule-2,"JournaloftheAmericanChemicalSociety Communication lactamase (ESBL) resistance genes, Figure S4), and K.",synergy.text_rules,0.58
zhao2013.pdf,6596,nanoparticle,Escherichia coli,Levofloxacin,MIC,,,128,,2,,text-1,zhao2013:rule-3,"JournaloftheAmericanChemicalSociety Communication lactamase (ESBL) resistance genes, Figure S4), and K.",synergy.text_rules,0.58
zhao2013.pdf,6597,nanoparticle,Klebsiella pneumoniae,Colistin,MIC,,,128,,2,,text-2,zhao2013:rule-4,"JournaloftheAmericanChemicalSociety Communication lactamase (ESBL) resistance genes, Figure S4), and K. pneumoniae R12K2637, were resistant to more than 20 antibioticsandjustsusceptibletoamikacinandcolistin(Tables S2 and S3).",synergy.text_rules,0.58
zhao2013.pdf,6598,nanoparticle,Klebsiella pneumoniae,Gentamicin,MIC,,,128,,2,,text-2,zhao2013:rule-5,"JournaloftheAmericanChemicalSociety Communication lactamase (ESBL) resistance genes, Figure S4), and K. pneumoniae R12K2637, were resistant to more than 20 antibioticsandjustsusceptibletoamikacinandcolistin(Tables S2 and S3).",synergy.text_rules,0.58
zhao2013.pdf,6599,nanoparticle,Klebsiella pneumoniae,Levofloxacin,MIC,,,128,,2,,text-2,zhao2013:rule-6,"JournaloftheAmericanChemicalSociety Communication lactamase (ESBL) resistance genes, Figure S4), and K. pneumoniae R12K2637, were resistant to more than 20 antibioticsandjustsusceptibletoamikacinandcolistin(Tables S2 and S3).",synergy.text_rules,0.58
zhao2013.pdf,6600,nanoparticle,Escherichia coli,Gentamicin,MIC,,,128,,2,,text-3,zhao2013:rule-7,"MDR Gram-positive strains, MRSA, S. suisSY376,andE.faeciumJN133,wereresistanttomorethan12 antibiotics(TableS4).Threeclassesofantibioticswereusedfor comparison in Table 1, which are gentamicin (a type of aminoglycosides), mainlyused to treat Gram-negative bacteria, levofloxacin (a type of quinolones) with broad spectra, and colisin (a type of polymyxins), used to treat superbugs.",synergy.text_rules,0.58
zhao2013.pdf,6601,nanoparticle,Escherichia coli,Levofloxacin,MIC,,,128,,2,,text-3,zhao2013:rule-8,"MDR Gram-positive strains, MRSA, S. suisSY376,andE.faeciumJN133,wereresistanttomorethan12 antibiotics(TableS4).Threeclassesofantibioticswereusedfor comparison in Table 1, which are gentamicin (a type of aminoglycosides), mainlyused to treat Gram-negative bacteria, levofloxacin (a type of quinolones) with broad spectra, and colisin (a type of polymyxins), used to treat superbugs.",synergy.text_rules,0.58
zhao2013.pdf,6602,nanoparticle,Escherichia coli,Gentamicin,MIC,,,128,,2,,text-4,zhao2013:rule-9,"suisSY376,andE.faeciumJN133,wereresistanttomorethan12 antibiotics(TableS4).Threeclassesofantibioticswereusedfor comparison in Table 1, which are gentamicin (a type of aminoglycosides), mainlyused to treat Gram-negative bacteria, levofloxacin (a type of quinolones) with broad spectra, and colisin (a type of polymyxins), used to treat superbugs. MDR strains were all resistant to gentamicin and levofloxacin except MDR A.",synergy.text_rules,0.58
zhao2013.pdf,6603,nanoparticle,Escherichia coli,Levofloxacin,MIC,,,128,,2,,text-4,zhao2013:rule-10,"suisSY376,andE.faeciumJN133,wereresistanttomorethan12 antibiotics(TableS4).Threeclassesofantibioticswereusedfor comparison in Table 1, which are gentamicin (a type of aminoglycosides), mainlyused to treat Gram-negative bacteria, levofloxacin (a type of quinolones) with broad spectra, and colisin (a type of polymyxins), used to treat superbugs. MDR strains were all resistant to gentamicin and levofloxacin except MDR A.",synergy.text_rules,0.58
zhao2013.pdf,6604,nanoparticle,Acinetobacter baumannii,Gentamicin,MIC,,,128,,2,,text-5,zhao2013:rule-11,MDR strains were all resistant to gentamicin and levofloxacin except MDR A. baumannii.,synergy.text_rules,0.58
zhao2013.pdf,6605,nanoparticle,Acinetobacter baumannii,Levofloxacin,MIC,,,128,,2,,text-5,zhao2013:rule-12,MDR strains were all resistant to gentamicin and levofloxacin except MDR A. baumannii.,synergy.text_rules,0.58
zhao2013.pdf,6606,nanoparticle,Escherichia coli,Colistin,MIC,,,128,,2,,text-6,zhao2013:rule-13,DAPT by itself and each NAA molecule alone had no Figure 1. Schematic structures of non-antibiotic amines (NAA) and antibiotic activities against both Gram-negative and Gram- antibioticsprodrugDAPTusedtomodifygoldNPsindividuallyorina positive bacteria (MICs≥128μg/mL).,synergy.text_rules,0.58
